concept_id,concept,aliases,slide_snippets,embedding_source,embedding_token
10,bias problem,bias problem,"[""diagnosing bias vs variance advice for applying machine learning If you run the learning algorithm and it doesn't do as well as you are hoping, almost all the time it will be because you have either a high bias problem or a high variance problem. In other words they're either an underfitting problem or an overfitting problem. And in this case it's very important to figure out which of these two problems is bias or variance or a bit of both that you actually have. Because knowing which of these t"", ""regularization and bias variance advice for applying machine learning You've seen how regularization can help prevent over-fitting. But how does it affect the bias and variances of a learning algorithm? In this video I'd like to go deeper into the issue of bias and variances and talk about how it interacts with and is affected by the regularization of your learning algorithm. Suppose we're fitting a high auto polynomial, like that showed here, but to prevent over fitting we need to use regulariz"", ""deciding what to do next revisited advice for applying machine learning We've talked about how to evaluate learning algorithms, talked about model selection, talked a lot about bias and variance. So how does this help us figure out what are potentially fruitful, potentially not fruitful things to try to do to improve the performance of a learning algorithm. Let's go back to our original motivating example and go for the result. So here is our earlier example of maybe having fit regularized linea""]",canonical_phrase,__phrase__bias_problem
11,bias unit,bias unit::;bias units,"[""model representation i neural networks representation In this video, I want to start telling you about how we represent neural networks. In other words, how we represent our hypothesis or how we represent our model when using neural networks. Neural networks were developed as simulating neurons or networks of neurons in the brain. So, to explain the hypothesis representation let's start by looking at what a single neuron in the brain looks like. Your brain and mine is jam packed full of neurons "", ""model representation ii neural networks representation In the last video, we gave a mathematical definition of how to represent or how to compute the hypotheses used by Neural Network. In this video, I like show you how to actually carry out that computation efficiently, and that is show you a vector rise implementation. And second, and more importantly, I want to start giving you intuition about why these neural network representations might be a good idea and how they can help us to learn comp"", ""examples and intuitions i neural networks representation In this and the next video I want to work through a detailed example showing how a neural network can compute a complex non linear function of the input. And hopefully this will give you a good sense of why neural networks can be used to learn complex non linear hypotheses. Consider the following problem where we have features X1 and X2 that are binary values. So, either 0 or 1. So, X1 and X2 can each take on only one of two possible value""]",canonical_phrase,__phrase__bias_unit
12,bias variance trade-off,bias variance trade-off::;bias variance tradeoff,"[""kernels ii support vector machines In the last video, we started to talk about the kernels idea and how it can be used to define new features for the support vector machine. In this video, I'd like to throw in some of the missing details and, also, say a few words about how to use these ideas in practice. Such as, how they pertain to, for example, the bias variance trade-off in support vector machines. In the last video, I talked about the process of picking a few landmarks. You know, l1, l2, l3"", ""using an svm support vector machines So far we've been talking about SVMs in a fairly abstract level. In this video I'd like to talk about what you actually need to do in order to run or to use an SVM. The support vector machine algorithm poses a particular optimization problem. But as I briefly mentioned in an earlier video, I really do not recommend writing your own software to solve for the parameter's theta yourself. So just as today, very few of us, or maybe almost essentially none of us wo"", ""irreducible error and bias assessing performance [MUSIC] Okay, so, we've talked about three different measures of error. And now in this part, we're gonna talk about three different sources of error. And this is gonna lead us into a conversation of the bias variance trade-off. Okay, so when we were forming our prediction, there are three different sources of error. Noise, bias, and variance. And in this part, we're gonna walk through these three different components, at a very high level. At a m""]",canonical_phrase,__phrase__bias_variance_trade-off
13,big data sets,big data sets::;large data sets::;large datasets,"[""learning with large datasets large scale machine learning In the next few videos, we'll talk about large scale machine learning. That is, algorithms but viewing with big data sets. If you look back at a recent 5 or 10-year history of machine learning. One of the reasons that learning algorithms work so much better now than even say, 5-years ago, is just the sheer amount of data that we have now and that we can train our algorithms on. In these next few videos, we'll talk about algorithms for dea"", ""stochastic gradient descent large scale machine learning For many learning algorithms, among them linear regression, logistic regression and neural networks, the way we derive the algorithm was by coming up with a cost function or coming up with an optimization objective. And then using an algorithm like gradient descent to minimize that cost function. We have a very large training set gradient descent becomes a computationally very expensive procedure. In this video, we'll talk about a modifica"", ""map reduce and data parallelism large scale machine learning In the last few videos, we talked about stochastic gradient descent, and, you know, other variations of the stochastic gradient descent algorithm, including those adaptations to online learning, but all of those algorithms could be run on one machine, or could be run on one computer. And some machine learning problems are just too big to run on one machine, sometimes maybe you just so much data you just don't ever want to run all that ""]",canonical_phrase,__phrase__big_data_sets
14,binary classification,binary classification,"[""classification logistic regression In this and the next few videos, I want to start to talk about classification problems, where the variable y that you want to predict is valued. We'll develop an algorithm called logistic regression, which is one of the most popular and most widely used learning algorithms today. Here are some examples of classification problems. Earlier we talked about email spam classification as an example of a classification problem. Another example would be classifying onl"", ""multiclass classification one vs all logistic regression In this video we'll talk about how to get logistic regression to work for multiclass classification problems. And in particular I want to tell you about an algorithm called one-versus-all classification. What's a multiclass classification problem? Here are some examples. Lets say you want a learning algorithm to automatically put your email into different folders or to automatically tag your emails so you might have different folders or di"", ""cost function neural networks learning Neural networks are one of the most powerful learning algorithms that we have today. In this and in the next few videos, I'd like to start talking about a learning algorithm for fitting the parameters of a neural network given a training set. As with the discussion of most of our learning algorithms, we're going to begin by talking about the cost function for fitting the parameters of the network. I'm going to focus on the application of neural networks to ""]",canonical_phrase,__phrase__binary_classification
15,boosting algorithm,boosting algorithm,"[""outline of second half of course welcome [MUSIC] From here we're going to explore one of the most fundamental things that happens in practice with data, the issue of missing data. So here I have a dataset, but unlike what we've done so far in this course in specialization, we assume that all data is observed. But here if you look at the second row, you have a question mark for that person. You don't know if the loan they took was a three-year loan or a five-year loan. So what do we do when we ha"", ""boosting boosting [MUSIC] So now that we've talked about several models, let's dive in into boosting more generally, and then a specific example of a boosting algorithm. So think about a learning problem where we take some data, we learn a classifier which gives us some output, f(x), and we use it to predict on some data so we say that y hat is a sign of f(x). So if we take some data and we try to make a prediction, we might learn see a decision stop. So let's say you try to split on income, we "", ""adaboost overview boosting [MUSIC] In this module we're going to talk about the specific boosting algorithm called AdaBoost. AdaBoost is one of the early machine learning algorithms for boosting. It's extremely useful. It's very simple to implement. And it's quite effective. There are others. I'll mention another interesting one towards the end of the module but let's start with AdaBoost. This is the famous AdaBoost algorithm, which was created by Freund and Schapire in 1999, amazing useful algo""]",canonical_phrase,__phrase__boosting_algorithm
16,character recognition,character recognition,"[""problem description and pipeline application example photo ocr In this and the next few videos, I want to tell you about a machine learning application example, or a machine learning application history centered around an application called Photo OCR . There are three reasons why I want to do this, first I wanted to show you an example of how a complex machine learning system can be put together. Second, once told the concepts of a machine learning a type line and how to allocate resources when "", ""getting lots of data and artificial data application example photo ocr I've seen over and over that one of the most reliable ways to get a high performance machine learning system is to take a low bias learning algorithm and to train it on a massive training set. But where did you get so much training data from? Turns out that the machine earnings there's a fascinating idea called artificial data synthesis, this doesn't apply to every single problem, and to apply to a specific problem, often tak"", ""ceiling analysis what part of the pipeline to work on next application example photo ocr In earlier videos, I've said over and over that, when you're developing a machine learning system, one of the most valuable resources is your time as the developer, in terms of picking what to work on next. Or, if you have a team of developers or a team of engineers working together on a machine learning system. Again, one of the most valuable resources is the time of the engineers or the developers working ""]",canonical_phrase,__phrase__character_recognition
17,character segmentation,character segmentation,"[""problem description and pipeline application example photo ocr In this and the next few videos, I want to tell you about a machine learning application example, or a machine learning application history centered around an application called Photo OCR . There are three reasons why I want to do this, first I wanted to show you an example of how a complex machine learning system can be put together. Second, once told the concepts of a machine learning a type line and how to allocate resources when "", ""sliding windows application example photo ocr In the previous video, we talked about the photo OCR pipeline and how that worked. In which we would take an image and pass the Through a sequence of machine learning components in order to try to read the text that appears in an image. In this video I like to. A little bit more about how the individual components of the pipeline works. In particular most of this video will center around the discussion. of whats called a sliding windows. The first st"", ""ceiling analysis what part of the pipeline to work on next application example photo ocr In earlier videos, I've said over and over that, when you're developing a machine learning system, one of the most valuable resources is your time as the developer, in terms of picking what to work on next. Or, if you have a team of developers or a team of engineers working together on a machine learning system. Again, one of the most valuable resources is the time of the engineers or the developers working ""]",canonical_phrase,__phrase__character_segmentation
18,classification accuracy,classification accuracy,"[""error metrics for skewed classes machine learning system design In the previous video, I talked about error analysis and the importance of having error metrics, that is of having a single real number evaluation metric for your learning algorithm to tell how well it's doing. In the context of evaluation and of error metrics, there is one important case, where it's particularly tricky to come up with an appropriate error metric, or evaluation metric, for your learning algorithm. That case is the c"", ""advice for applying pca dimensionality reduction In an earlier video, I had said that PCA can be sometimes used to speed up the running time of a learning algorithm. In this video, I'd like to explain how to actually do that, and also say some, just try to give some advice about how to apply PCA. Here's how you can use PCA to speed up a learning algorithm, and this supervised learning algorithm speed up is actually the most common use that I personally make of PCA. Let's say you have a supervise"", ""developing and evaluating an anomaly detection system anomaly detection In the last video, we developed an anomaly detection algorithm. In this video, I like to talk about the process of how to go about developing a specific application of anomaly detection to a problem and in particular this will focus on the problem of how to evaluate an anomaly detection algorithm. In previous videos, we've already talked about the importance of real number evaluation and this captures the idea that when you'""]",canonical_phrase,__phrase__classification_accuracy
19,classification approach,classification approach::;classification model::;classification algorithm,"[""normal equation linear regression with multiple variables In this video, we'll talk about the normal equation, which for some linear regression problems, will give us a much better way to solve for the optimal value of the parameters theta. Concretely, so far the algorithm that we've been using for linear regression is gradient descent where in order to minimize the cost function J of Theta, we would take this iterative algorithm that takes many steps, multiple iterations of gradient descent to "", ""classification logistic regression In this and the next few videos, I want to start to talk about classification problems, where the variable y that you want to predict is valued. We'll develop an algorithm called logistic regression, which is one of the most popular and most widely used learning algorithms today. Here are some examples of classification problems. Earlier we talked about email spam classification as an example of a classification problem. Another example would be classifying onl"", ""simplified cost function and gradient descent logistic regression In this video, we'll figure out a slightly simpler way to write the cost function than we have been using so far. And we'll also figure out how to apply gradient descent to fit the parameters of logistic regression. So, by the end of this, video you know how to implement a fully working version of logistic regression. Here's our cost function for logistic regression. Our overall cost function is 1 over m times the sum over the tra""]",canonical_phrase,__phrase__classification_approach
20,classification error,classification error,"[""evaluating a hypothesis advice for applying machine learning In this video, I would like to talk about how to evaluate a hypothesis that has been learned by your algorithm. In later videos, we will build on this to talk about how to prevent in the problems of overfitting and underfitting as well. When we fit the parameters of our learning algorithm we think about choosing the parameters to minimize the training error. One might think that getting a really low value of training error might be a g"", ""error analysis machine learning system design In the last video I talked about how, when faced with a machine learning problem, there are often lots of different ideas for how to improve the algorithm. In this video, let's talk about the concept of error analysis. Which will hopefully give you a way to more systematically make some of these decisions. If you're starting work on a machine learning problem, or building a machine learning application. It's often considered very good practice to sta"", ""error metrics for skewed classes machine learning system design In the previous video, I talked about error analysis and the importance of having error metrics, that is of having a single real number evaluation metric for your learning algorithm to tell how well it's doing. In the context of evaluation and of error metrics, there is one important case, where it's particularly tricky to come up with an appropriate error metric, or evaluation metric, for your learning algorithm. That case is the c""]",canonical_phrase,__phrase__classification_error
21,classification problem,classification problem::;classification problems::;classification task,"[""supervised learning introduction In this video I am going to define what is probably the most common type of machine learning problem, which is supervised learning. I'll define supervised learning more formally later, but it's probably best to explain or start with an example of what it is and we'll do the formal definition later. Let's say you want to predict housing prices. A while back, a student collected data sets from the Institute of Portland Oregon. And let's say you plot a data set and "", ""model representation linear regression with one variable Our first learning algorithm will be linear regression. In this video, you'll see what the model looks like and more importantly you'll see what the overall process of supervised learning looks like. Let's use some motivating example of predicting housing prices. We're going to use a data set of housing prices from the city of Portland, Oregon. And here I'm gonna plot my data set of a number of houses that were different sizes that were so"", ""classification logistic regression In this and the next few videos, I want to start to talk about classification problems, where the variable y that you want to predict is valued. We'll develop an algorithm called logistic regression, which is one of the most popular and most widely used learning algorithms today. Here are some examples of classification problems. Earlier we talked about email spam classification as an example of a classification problem. Another example would be classifying onl""]",canonical_phrase,__phrase__classification_problem
22,cluster center,cluster center::;cluster centers::;cluster centroid::;cluster centroids,"[""k means algorithm unsupervised learning In the clustering problem we are given an unlabeled data set and we would like to have an algorithm automatically group the data into coherent subsets or into coherent clusters for us. The K Means algorithm is by far the most popular, by far the most widely used clustering algorithm, and in this video I would like to tell you what the K Means Algorithm is and how it works. The K means clustering algorithm is best illustrated in pictures. Let's say I want t"", ""optimization objective unsupervised learning Most of the supervised learning algorithms we've seen, things like linear regression, logistic regression, and so on, all of those algorithms have an optimization objective or some cost function that the algorithm was trying to minimize. It turns out that k-means also has an optimization objective or a cost function that it's trying to minimize. And in this video I'd like to tell you what that optimization objective is. And the reason I want to do so "", ""random initialization unsupervised learning In this video, I'd like to talk about how to initialize K-means and more importantly, this will lead into a discussion of how to make K-means avoid local optima as well. Here's the K-means clustering algorithm that we talked about earlier. One step that we never really talked much about was this step of how you randomly initialize the cluster centroids. There are few different ways that one can imagine using to randomly initialize the cluster centroids""]",canonical_phrase,__phrase__cluster_center
23,cluster,cluster::;clusters,"[""unsupervised learning introduction In this video, we'll talk about the second major type of machine learning problem, called Unsupervised Learning. In the last video, we talked about Supervised Learning. Back then, recall data sets that look like this, where each example was labeled either as a positive or negative example, whether it was a benign or a malignant tumor. So for each example in Supervised Learning, we were told explicitly what is the so-called right answer, whether it's benign or m"", ""unsupervised learning introduction unsupervised learning In this video, I'd like to start to talk about clustering. This will be exciting, because this is our first unsupervised learning algorithm, where we learn from unlabeled data instead from labelled data. So, what is unsupervised learning? I briefly talked about unsupervised learning at the beginning of the class but it's useful to contrast it with supervised learning. So, here's a typical supervised learning problem where we're given a lab"", ""k means algorithm unsupervised learning In the clustering problem we are given an unlabeled data set and we would like to have an algorithm automatically group the data into coherent subsets or into coherent clusters for us. The K Means algorithm is by far the most popular, by far the most widely used clustering algorithm, and in this video I would like to tell you what the K Means Algorithm is and how it works. The K means clustering algorithm is best illustrated in pictures. Let's say I want t""]",canonical_phrase,__phrase__cluster
24,clustering algorithm,clustering algorithm::;clustering model,"[""unsupervised learning introduction In this video, we'll talk about the second major type of machine learning problem, called Unsupervised Learning. In the last video, we talked about Supervised Learning. Back then, recall data sets that look like this, where each example was labeled either as a positive or negative example, whether it was a benign or a malignant tumor. So for each example in Supervised Learning, we were told explicitly what is the so-called right answer, whether it's benign or m"", ""unsupervised learning introduction unsupervised learning In this video, I'd like to start to talk about clustering. This will be exciting, because this is our first unsupervised learning algorithm, where we learn from unlabeled data instead from labelled data. So, what is unsupervised learning? I briefly talked about unsupervised learning at the beginning of the class but it's useful to contrast it with supervised learning. So, here's a typical supervised learning problem where we're given a lab"", ""k means algorithm unsupervised learning In the clustering problem we are given an unlabeled data set and we would like to have an algorithm automatically group the data into coherent subsets or into coherent clusters for us. The K Means algorithm is by far the most popular, by far the most widely used clustering algorithm, and in this video I would like to tell you what the K Means Algorithm is and how it works. The K means clustering algorithm is best illustrated in pictures. Let's say I want t""]",canonical_phrase,__phrase__clustering_algorithm
25,collaborative filtering,collaborative filtering,"[""collaborative filtering recommender systems In this video we'll talk about an approach to building a recommender system that's called collaborative filtering. The algorithm that we're talking about has a very interesting property that it does what is called feature learning and by that I mean that this will be an algorithm that can start to learn for itself what features to use. Here was the data set that we had and we had assumed that for each movie, someone had come and told us how romantic th"", ""collaborative filtering algorithm recommender systems In the last couple videos, we talked about the ideas of how, first, if you're given features for movies, you can use that to learn parameters data for users. And second, if you're given parameters for the users, you can use that to learn features for the movies. In this video we're going to take those ideas and put them together to come up with a collaborative filtering algorithm. So one of the things we worked out earlier is that if you have"", ""vectorization low rank matrix factorization recommender systems In the last few videos, we talked about a collaborative filtering algorithm. In this video I'm going to say a little bit about the vectorization implementation of this algorithm. And also talk a little bit about other things you can do with this algorithm. For example, one of the things you can do is, given one product can you find other products that are related to this so that for example, a user has recently been looking at one p""]",canonical_phrase,__phrase__collaborative_filtering
26,features,features::;feature,"[""supervised learning introduction In this video I am going to define what is probably the most common type of machine learning problem, which is supervised learning. I'll define supervised learning more formally later, but it's probably best to explain or start with an example of what it is and we'll do the formal definition later. Let's say you want to predict housing prices. A while back, a student collected data sets from the Institute of Portland Oregon. And let's say you plot a data set and "", ""model representation linear regression with one variable Our first learning algorithm will be linear regression. In this video, you'll see what the model looks like and more importantly you'll see what the overall process of supervised learning looks like. Let's use some motivating example of predicting housing prices. We're going to use a data set of housing prices from the city of Portland, Oregon. And here I'm gonna plot my data set of a number of houses that were different sizes that were so"", ""matrices and vectors linear algebra review Let's get started with our linear algebra review. In this video I want to tell you what are matrices and what are vectors. A matrix is a rectangular array of numbers written between square brackets. So, for example, here is a matrix on the right, a left square bracket. And then, write in a bunch of numbers. These could be features from a learning problem or it could be data from somewhere else, but the specific values don't matter, and then I'm going to""]",canonical_phrase,__phrase__features
27,computer vision,computer vision,"[""welcome introduction Welcome to this free online class on machine learning. Machine learning is one of the most exciting recent technologies. And in this class, you learn about the state of the art and also gain practice implementing and deploying these algorithms yourself. You've probably use a learning algorithm dozens of times a day without knowing it. Every time you use a web search engine like Google or Bing to search the internet, one of the reasons that works so well is because a learning"", ""non linear hypotheses neural networks representation In this and in the next set of videos, I'd like to tell you about a learning algorithm called a Neural Network. We're going to first talk about the representation and then in the next set of videos talk about learning algorithms for it. Neutral networks is actually a pretty old idea, but had fallen out of favor for a while. But today, it is the state of the art technique for many different machine learning problems. So why do we need yet anoth"", ""multiclass classification neural networks representation In this video, I want to tell you about how to use neural networks to do multiclass classification where we may have more than one category that we're trying to distinguish amongst. In the last part of the last video, where we had the handwritten digit recognition problem, that was actually a multiclass classification problem because there were ten possible categories for recognizing the digits from 0 through 9 and so, if you want us to fi""]",canonical_phrase,__phrase__computer_vision
28,concave function,concave function,"[""finding maxima or minima analytically simple linear regression [MUSIC] But before we get to how to minimize residual sum of squares in particular, let's talk about optimization in a more abstract sense. In terms of just a generic function and thinking about how do we minimize it, what are the properties of the minimum of a function and algorithms for achieving that minimum? One of the first important concepts that we can talk about is the notion of convex and concave functions. So here, I have a""]",canonical_phrase,__phrase__concave_function
