concept_id,concept,aliases,slide_snippets,embedding_source,embedding_token,embedding_model
10,bias problem,bias problem,"[""activation function . activation values . adaboost . agglomerative clustering . anomalous example anomalous examples . anomaly detection . back prop back propagation . batch gradient descent . bayesian approach . bayesian inference . bias problem . bias unit bias units . bias variance trade-off bias variance tradeoff . big data sets large data sets large datasets . binary classification . boosting algorithm . character recognition . character segmentation . classification accuracy . classificati""]",bert,,sentence-transformers/all-mpnet-base-v2
11,bias unit,bias unit::;bias units,"[""activation function . activation values . adaboost . agglomerative clustering . anomalous example anomalous examples . anomaly detection . back prop back propagation . batch gradient descent . bayesian approach . bayesian inference . bias problem . bias unit bias units . bias variance trade-off bias variance tradeoff . big data sets large data sets large datasets . binary classification . boosting algorithm . character recognition . character segmentation . classification accuracy . classificati""]",bert,,sentence-transformers/all-mpnet-base-v2
12,bias variance trade-off,bias variance trade-off::;bias variance tradeoff,"[""activation function . activation values . adaboost . agglomerative clustering . anomalous example anomalous examples . anomaly detection . back prop back propagation . batch gradient descent . bayesian approach . bayesian inference . bias problem . bias unit bias units . bias variance trade-off bias variance tradeoff . big data sets large data sets large datasets . binary classification . boosting algorithm . character recognition . character segmentation . classification accuracy . classificati""]",bert,,sentence-transformers/all-mpnet-base-v2
13,big data sets,big data sets::;large data sets::;large datasets,"[""activation function . activation values . adaboost . agglomerative clustering . anomalous example anomalous examples . anomaly detection . back prop back propagation . batch gradient descent . bayesian approach . bayesian inference . bias problem . bias unit bias units . bias variance trade-off bias variance tradeoff . big data sets large data sets large datasets . binary classification . boosting algorithm . character recognition . character segmentation . classification accuracy . classificati""]",bert,,sentence-transformers/all-mpnet-base-v2
14,binary classification,binary classification,"[""activation function . activation values . adaboost . agglomerative clustering . anomalous example anomalous examples . anomaly detection . back prop back propagation . batch gradient descent . bayesian approach . bayesian inference . bias problem . bias unit bias units . bias variance trade-off bias variance tradeoff . big data sets large data sets large datasets . binary classification . boosting algorithm . character recognition . character segmentation . classification accuracy . classificati""]",bert,,sentence-transformers/all-mpnet-base-v2
15,boosting algorithm,boosting algorithm,"[""activation function . activation values . adaboost . agglomerative clustering . anomalous example anomalous examples . anomaly detection . back prop back propagation . batch gradient descent . bayesian approach . bayesian inference . bias problem . bias unit bias units . bias variance trade-off bias variance tradeoff . big data sets large data sets large datasets . binary classification . boosting algorithm . character recognition . character segmentation . classification accuracy . classificati""]",bert,,sentence-transformers/all-mpnet-base-v2
16,character recognition,character recognition,"[""activation function . activation values . adaboost . agglomerative clustering . anomalous example anomalous examples . anomaly detection . back prop back propagation . batch gradient descent . bayesian approach . bayesian inference . bias problem . bias unit bias units . bias variance trade-off bias variance tradeoff . big data sets large data sets large datasets . binary classification . boosting algorithm . character recognition . character segmentation . classification accuracy . classificati""]",bert,,sentence-transformers/all-mpnet-base-v2
17,character segmentation,character segmentation,"[""activation function . activation values . adaboost . agglomerative clustering . anomalous example anomalous examples . anomaly detection . back prop back propagation . batch gradient descent . bayesian approach . bayesian inference . bias problem . bias unit bias units . bias variance trade-off bias variance tradeoff . big data sets large data sets large datasets . binary classification . boosting algorithm . character recognition . character segmentation . classification accuracy . classificati""]",bert,,sentence-transformers/all-mpnet-base-v2
18,classification accuracy,classification accuracy,"[""activation function . activation values . adaboost . agglomerative clustering . anomalous example anomalous examples . anomaly detection . back prop back propagation . batch gradient descent . bayesian approach . bayesian inference . bias problem . bias unit bias units . bias variance trade-off bias variance tradeoff . big data sets large data sets large datasets . binary classification . boosting algorithm . character recognition . character segmentation . classification accuracy . classificati""]",bert,,sentence-transformers/all-mpnet-base-v2
19,classification approach,classification approach::;classification model::;classification algorithm,"[""activation function . activation values . adaboost . agglomerative clustering . anomalous example anomalous examples . anomaly detection . back prop back propagation . batch gradient descent . bayesian approach . bayesian inference . bias problem . bias unit bias units . bias variance trade-off bias variance tradeoff . big data sets large data sets large datasets . binary classification . boosting algorithm . character recognition . character segmentation . classification accuracy . classificati""]",bert,,sentence-transformers/all-mpnet-base-v2
20,classification error,classification error,"[""activation function . activation values . adaboost . agglomerative clustering . anomalous example anomalous examples . anomaly detection . back prop back propagation . batch gradient descent . bayesian approach . bayesian inference . bias problem . bias unit bias units . bias variance trade-off bias variance tradeoff . big data sets large data sets large datasets . binary classification . boosting algorithm . character recognition . character segmentation . classification accuracy . classificati"", ""k means k-means . k nearest neighbors k-nearest neighbor k-nearest neighbors . k-means objective . kernel function . kernel regression . l1 penalty . labeled data . large margin classifier . lasso regression . latent dirichlet allocation lda model . learning curve learning curves . learning method learning methods learning model learning algorithm learning algorithms . learning problem learning problems learning task . learning rate . learning system . least squares . likelihood function . linea""]",bert,,sentence-transformers/all-mpnet-base-v2
21,classification problem,classification problem::;classification problems::;classification task,"[""activation function . activation values . adaboost . agglomerative clustering . anomalous example anomalous examples . anomaly detection . back prop back propagation . batch gradient descent . bayesian approach . bayesian inference . bias problem . bias unit bias units . bias variance trade-off bias variance tradeoff . big data sets large data sets large datasets . binary classification . boosting algorithm . character recognition . character segmentation . classification accuracy . classificati""]",bert,,sentence-transformers/all-mpnet-base-v2
22,cluster center,cluster center::;cluster centers::;cluster centroid::;cluster centroids,"[""activation function . activation values . adaboost . agglomerative clustering . anomalous example anomalous examples . anomaly detection . back prop back propagation . batch gradient descent . bayesian approach . bayesian inference . bias problem . bias unit bias units . bias variance trade-off bias variance tradeoff . big data sets large data sets large datasets . binary classification . boosting algorithm . character recognition . character segmentation . classification accuracy . classificati""]",bert,,sentence-transformers/all-mpnet-base-v2
23,cluster,cluster::;clusters,"[""activation function . activation values . adaboost . agglomerative clustering . anomalous example anomalous examples . anomaly detection . back prop back propagation . batch gradient descent . bayesian approach . bayesian inference . bias problem . bias unit bias units . bias variance trade-off bias variance tradeoff . big data sets large data sets large datasets . binary classification . boosting algorithm . character recognition . character segmentation . classification accuracy . classificati"", ""dimensionality reduction . document retrieval . early stopping . error analysis . error cost function . estimated parameters . evaluation metrics . expectation maximization . f1 score . face detection . false negative false negatives . false positives . feature engineering . feature extraction feature extractor . feature scaling . feature selection . feature space . feature vector feature vectors . forward propagation . gaussian density gaussian probability density gaussian distribution normal d""]",bert,,sentence-transformers/all-mpnet-base-v2
24,clustering algorithm,clustering algorithm::;clustering model,"[""activation function . activation values . adaboost . agglomerative clustering . anomalous example anomalous examples . anomaly detection . back prop back propagation . batch gradient descent . bayesian approach . bayesian inference . bias problem . bias unit bias units . bias variance trade-off bias variance tradeoff . big data sets large data sets large datasets . binary classification . boosting algorithm . character recognition . character segmentation . classification accuracy . classificati""]",bert,,sentence-transformers/all-mpnet-base-v2
25,collaborative filtering,collaborative filtering,"[""activation function . activation values . adaboost . agglomerative clustering . anomalous example anomalous examples . anomaly detection . back prop back propagation . batch gradient descent . bayesian approach . bayesian inference . bias problem . bias unit bias units . bias variance trade-off bias variance tradeoff . big data sets large data sets large datasets . binary classification . boosting algorithm . character recognition . character segmentation . classification accuracy . classificati""]",bert,,sentence-transformers/all-mpnet-base-v2
26,features,features::;feature,"[""activation function . activation values . adaboost . agglomerative clustering . anomalous example anomalous examples . anomaly detection . back prop back propagation . batch gradient descent . bayesian approach . bayesian inference . bias problem . bias unit bias units . bias variance trade-off bias variance tradeoff . big data sets large data sets large datasets . binary classification . boosting algorithm . character recognition . character segmentation . classification accuracy . classificati"", ""dimensionality reduction . document retrieval . early stopping . error analysis . error cost function . estimated parameters . evaluation metrics . expectation maximization . f1 score . face detection . false negative false negatives . false positives . feature engineering . feature extraction feature extractor . feature scaling . feature selection . feature space . feature vector feature vectors . forward propagation . gaussian density gaussian probability density gaussian distribution normal d"", ""model parameters . model selection . multi-class classification multiclass classification . multivariate gaussian distribution . multivariate gaussian model . nearest neighbor search . nearest neighbors nearest neighbour . negative example negative examples . neural network neural networks . neural network learning . non-anomalous examples . nonlinear hypotheses . normal equation . normalized features . normalized representation . matrix matrices . ocr problem . online learning . optimal solutio""]",bert,,sentence-transformers/all-mpnet-base-v2
27,computer vision,computer vision,"[""activation function . activation values . adaboost . agglomerative clustering . anomalous example anomalous examples . anomaly detection . back prop back propagation . batch gradient descent . bayesian approach . bayesian inference . bias problem . bias unit bias units . bias variance trade-off bias variance tradeoff . big data sets large data sets large datasets . binary classification . boosting algorithm . character recognition . character segmentation . classification accuracy . classificati""]",bert,,sentence-transformers/all-mpnet-base-v2
28,concave function,concave function,"[""activation function . activation values . adaboost . agglomerative clustering . anomalous example anomalous examples . anomaly detection . back prop back propagation . batch gradient descent . bayesian approach . bayesian inference . bias problem . bias unit bias units . bias variance trade-off bias variance tradeoff . big data sets large data sets large datasets . binary classification . boosting algorithm . character recognition . character segmentation . classification accuracy . classificati""]",bert,,sentence-transformers/all-mpnet-base-v2
29,conditional distribution,conditional distribution,"[""activation function . activation values . adaboost . agglomerative clustering . anomalous example anomalous examples . anomaly detection . back prop back propagation . batch gradient descent . bayesian approach . bayesian inference . bias problem . bias unit bias units . bias variance trade-off bias variance tradeoff . big data sets large data sets large datasets . binary classification . boosting algorithm . character recognition . character segmentation . classification accuracy . classificati""]",bert,,sentence-transformers/all-mpnet-base-v2
30,conditional probabilities,conditional probabilities,"[""activation function . activation values . adaboost . agglomerative clustering . anomalous example anomalous examples . anomaly detection . back prop back propagation . batch gradient descent . bayesian approach . bayesian inference . bias problem . bias unit bias units . bias variance trade-off bias variance tradeoff . big data sets large data sets large datasets . binary classification . boosting algorithm . character recognition . character segmentation . classification accuracy . classificati""]",bert,,sentence-transformers/all-mpnet-base-v2
31,confusion matrix,confusion matrix,"[""activation function . activation values . adaboost . agglomerative clustering . anomalous example anomalous examples . anomaly detection . back prop back propagation . batch gradient descent . bayesian approach . bayesian inference . bias problem . bias unit bias units . bias variance trade-off bias variance tradeoff . big data sets large data sets large datasets . binary classification . boosting algorithm . character recognition . character segmentation . classification accuracy . classificati""]",bert,,sentence-transformers/all-mpnet-base-v2
32,conjugate gradient,conjugate gradient,"[""activation function . activation values . adaboost . agglomerative clustering . anomalous example anomalous examples . anomaly detection . back prop back propagation . batch gradient descent . bayesian approach . bayesian inference . bias problem . bias unit bias units . bias variance trade-off bias variance tradeoff . big data sets large data sets large datasets . binary classification . boosting algorithm . character recognition . character segmentation . classification accuracy . classificati""]",bert,,sentence-transformers/all-mpnet-base-v2
33,convergence test,convergence test,"[""activation function . activation values . adaboost . agglomerative clustering . anomalous example anomalous examples . anomaly detection . back prop back propagation . batch gradient descent . bayesian approach . bayesian inference . bias problem . bias unit bias units . bias variance trade-off bias variance tradeoff . big data sets large data sets large datasets . binary classification . boosting algorithm . character recognition . character segmentation . classification accuracy . classificati""]",bert,,sentence-transformers/all-mpnet-base-v2
34,convex function,convex function::;convex functions,"[""activation function . activation values . adaboost . agglomerative clustering . anomalous example anomalous examples . anomaly detection . back prop back propagation . batch gradient descent . bayesian approach . bayesian inference . bias problem . bias unit bias units . bias variance trade-off bias variance tradeoff . big data sets large data sets large datasets . binary classification . boosting algorithm . character recognition . character segmentation . classification accuracy . classificati""]",bert,,sentence-transformers/all-mpnet-base-v2
35,coordinate descent,coordinate descent,"[""activation function . activation values . adaboost . agglomerative clustering . anomalous example anomalous examples . anomaly detection . back prop back propagation . batch gradient descent . bayesian approach . bayesian inference . bias problem . bias unit bias units . bias variance trade-off bias variance tradeoff . big data sets large data sets large datasets . binary classification . boosting algorithm . character recognition . character segmentation . classification accuracy . classificati""]",bert,,sentence-transformers/all-mpnet-base-v2
36,covariance matrix,covariance matrix,"[""activation function . activation values . adaboost . agglomerative clustering . anomalous example anomalous examples . anomaly detection . back prop back propagation . batch gradient descent . bayesian approach . bayesian inference . bias problem . bias unit bias units . bias variance trade-off bias variance tradeoff . big data sets large data sets large datasets . binary classification . boosting algorithm . character recognition . character segmentation . classification accuracy . classificati""]",bert,,sentence-transformers/all-mpnet-base-v2
37,cross validation,cross validation,"[""activation function . activation values . adaboost . agglomerative clustering . anomalous example anomalous examples . anomaly detection . back prop back propagation . batch gradient descent . bayesian approach . bayesian inference . bias problem . bias unit bias units . bias variance trade-off bias variance tradeoff . big data sets large data sets large datasets . binary classification . boosting algorithm . character recognition . character segmentation . classification accuracy . classificati""]",bert,,sentence-transformers/all-mpnet-base-v2
38,cross validation error,cross validation error::;cross-validation error,"[""activation function . activation values . adaboost . agglomerative clustering . anomalous example anomalous examples . anomaly detection . back prop back propagation . batch gradient descent . bayesian approach . bayesian inference . bias problem . bias unit bias units . bias variance trade-off bias variance tradeoff . big data sets large data sets large datasets . binary classification . boosting algorithm . character recognition . character segmentation . classification accuracy . classificati""]",bert,,sentence-transformers/all-mpnet-base-v2
39,cross validation sets,cross validation sets,"[""activation function . activation values . adaboost . agglomerative clustering . anomalous example anomalous examples . anomaly detection . back prop back propagation . batch gradient descent . bayesian approach . bayesian inference . bias problem . bias unit bias units . bias variance trade-off bias variance tradeoff . big data sets large data sets large datasets . binary classification . boosting algorithm . character recognition . character segmentation . classification accuracy . classificati""]",bert,,sentence-transformers/all-mpnet-base-v2
40,data representation,data representation,"[""activation function . activation values . adaboost . agglomerative clustering . anomalous example anomalous examples . anomaly detection . back prop back propagation . batch gradient descent . bayesian approach . bayesian inference . bias problem . bias unit bias units . bias variance trade-off bias variance tradeoff . big data sets large data sets large datasets . binary classification . boosting algorithm . character recognition . character segmentation . classification accuracy . classificati""]",bert,,sentence-transformers/all-mpnet-base-v2
41,data set,data set::;data sets,"[""activation function . activation values . adaboost . agglomerative clustering . anomalous example anomalous examples . anomaly detection . back prop back propagation . batch gradient descent . bayesian approach . bayesian inference . bias problem . bias unit bias units . bias variance trade-off bias variance tradeoff . big data sets large data sets large datasets . binary classification . boosting algorithm . character recognition . character segmentation . classification accuracy . classificati"", ""regression coefficients . regression function . regression model regression models . regression problem . regularization . regularized linear regression . regularized logistic regression . sentiment analysis . sentiment classifier . sigmoid function . spam filtering spam classifier . square distances squared distance . square matrix . square projection error squared projection error . squared error . standard deviation . standard least squares . stochastic gradient algorithm stochastic gradient ""]",bert,,sentence-transformers/all-mpnet-base-v2
42,decision boundaries,decision boundaries::;decision boundary,"[""activation function . activation values . adaboost . agglomerative clustering . anomalous example anomalous examples . anomaly detection . back prop back propagation . batch gradient descent . bayesian approach . bayesian inference . bias problem . bias unit bias units . bias variance trade-off bias variance tradeoff . big data sets large data sets large datasets . binary classification . boosting algorithm . character recognition . character segmentation . classification accuracy . classificati""]",bert,,sentence-transformers/all-mpnet-base-v2
43,decision stamp,decision stamp::;decision stumps,"[""activation function . activation values . adaboost . agglomerative clustering . anomalous example anomalous examples . anomaly detection . back prop back propagation . batch gradient descent . bayesian approach . bayesian inference . bias problem . bias unit bias units . bias variance trade-off bias variance tradeoff . big data sets large data sets large datasets . binary classification . boosting algorithm . character recognition . character segmentation . classification accuracy . classificati""]",bert,,sentence-transformers/all-mpnet-base-v2
44,decision tree,decision tree::;decision trees,"[""activation function . activation values . adaboost . agglomerative clustering . anomalous example anomalous examples . anomaly detection . back prop back propagation . batch gradient descent . bayesian approach . bayesian inference . bias problem . bias unit bias units . bias variance trade-off bias variance tradeoff . big data sets large data sets large datasets . binary classification . boosting algorithm . character recognition . character segmentation . classification accuracy . classificati""]",bert,,sentence-transformers/all-mpnet-base-v2
45,deep features,deep features,"[""activation function . activation values . adaboost . agglomerative clustering . anomalous example anomalous examples . anomaly detection . back prop back propagation . batch gradient descent . bayesian approach . bayesian inference . bias problem . bias unit bias units . bias variance trade-off bias variance tradeoff . big data sets large data sets large datasets . binary classification . boosting algorithm . character recognition . character segmentation . classification accuracy . classificati""]",bert,,sentence-transformers/all-mpnet-base-v2
46,deep learning,deep learning,"[""activation function . activation values . adaboost . agglomerative clustering . anomalous example anomalous examples . anomaly detection . back prop back propagation . batch gradient descent . bayesian approach . bayesian inference . bias problem . bias unit bias units . bias variance trade-off bias variance tradeoff . big data sets large data sets large datasets . binary classification . boosting algorithm . character recognition . character segmentation . classification accuracy . classificati""]",bert,,sentence-transformers/all-mpnet-base-v2
47,deep neural network,deep neural network::;deep neural networks,"[""activation function . activation values . adaboost . agglomerative clustering . anomalous example anomalous examples . anomaly detection . back prop back propagation . batch gradient descent . bayesian approach . bayesian inference . bias problem . bias unit bias units . bias variance trade-off bias variance tradeoff . big data sets large data sets large datasets . binary classification . boosting algorithm . character recognition . character segmentation . classification accuracy . classificati""]",bert,,sentence-transformers/all-mpnet-base-v2
48,derivative term,derivative term::;derivative terms,"[""activation function . activation values . adaboost . agglomerative clustering . anomalous example anomalous examples . anomaly detection . back prop back propagation . batch gradient descent . bayesian approach . bayesian inference . bias problem . bias unit bias units . bias variance trade-off bias variance tradeoff . big data sets large data sets large datasets . binary classification . boosting algorithm . character recognition . character segmentation . classification accuracy . classificati""]",bert,,sentence-transformers/all-mpnet-base-v2
49,design matrix,design matrix,"[""activation function . activation values . adaboost . agglomerative clustering . anomalous example anomalous examples . anomaly detection . back prop back propagation . batch gradient descent . bayesian approach . bayesian inference . bias problem . bias unit bias units . bias variance trade-off bias variance tradeoff . big data sets large data sets large datasets . binary classification . boosting algorithm . character recognition . character segmentation . classification accuracy . classificati""]",bert,,sentence-transformers/all-mpnet-base-v2
50,dimensionality reduction,dimensionality reduction,"[""dimensionality reduction . document retrieval . early stopping . error analysis . error cost function . estimated parameters . evaluation metrics . expectation maximization . f1 score . face detection . false negative false negatives . false positives . feature engineering . feature extraction feature extractor . feature scaling . feature selection . feature space . feature vector feature vectors . forward propagation . gaussian density gaussian probability density gaussian distribution normal d""]",bert,,sentence-transformers/all-mpnet-base-v2
51,document retrieval,document retrieval,"[""dimensionality reduction . document retrieval . early stopping . error analysis . error cost function . estimated parameters . evaluation metrics . expectation maximization . f1 score . face detection . false negative false negatives . false positives . feature engineering . feature extraction feature extractor . feature scaling . feature selection . feature space . feature vector feature vectors . forward propagation . gaussian density gaussian probability density gaussian distribution normal d""]",bert,,sentence-transformers/all-mpnet-base-v2
52,early stopping,early stopping,"[""dimensionality reduction . document retrieval . early stopping . error analysis . error cost function . estimated parameters . evaluation metrics . expectation maximization . f1 score . face detection . false negative false negatives . false positives . feature engineering . feature extraction feature extractor . feature scaling . feature selection . feature space . feature vector feature vectors . forward propagation . gaussian density gaussian probability density gaussian distribution normal d""]",bert,,sentence-transformers/all-mpnet-base-v2
53,error analysis,error analysis,"[""dimensionality reduction . document retrieval . early stopping . error analysis . error cost function . estimated parameters . evaluation metrics . expectation maximization . f1 score . face detection . false negative false negatives . false positives . feature engineering . feature extraction feature extractor . feature scaling . feature selection . feature space . feature vector feature vectors . forward propagation . gaussian density gaussian probability density gaussian distribution normal d""]",bert,,sentence-transformers/all-mpnet-base-v2
54,error cost function,error cost function,"[""dimensionality reduction . document retrieval . early stopping . error analysis . error cost function . estimated parameters . evaluation metrics . expectation maximization . f1 score . face detection . false negative false negatives . false positives . feature engineering . feature extraction feature extractor . feature scaling . feature selection . feature space . feature vector feature vectors . forward propagation . gaussian density gaussian probability density gaussian distribution normal d""]",bert,,sentence-transformers/all-mpnet-base-v2
55,estimated parameters,estimated parameters,"[""dimensionality reduction . document retrieval . early stopping . error analysis . error cost function . estimated parameters . evaluation metrics . expectation maximization . f1 score . face detection . false negative false negatives . false positives . feature engineering . feature extraction feature extractor . feature scaling . feature selection . feature space . feature vector feature vectors . forward propagation . gaussian density gaussian probability density gaussian distribution normal d""]",bert,,sentence-transformers/all-mpnet-base-v2
56,evaluation metrics,evaluation metrics,"[""dimensionality reduction . document retrieval . early stopping . error analysis . error cost function . estimated parameters . evaluation metrics . expectation maximization . f1 score . face detection . false negative false negatives . false positives . feature engineering . feature extraction feature extractor . feature scaling . feature selection . feature space . feature vector feature vectors . forward propagation . gaussian density gaussian probability density gaussian distribution normal d""]",bert,,sentence-transformers/all-mpnet-base-v2
57,expectation maximization,expectation maximization,"[""dimensionality reduction . document retrieval . early stopping . error analysis . error cost function . estimated parameters . evaluation metrics . expectation maximization . f1 score . face detection . false negative false negatives . false positives . feature engineering . feature extraction feature extractor . feature scaling . feature selection . feature space . feature vector feature vectors . forward propagation . gaussian density gaussian probability density gaussian distribution normal d""]",bert,,sentence-transformers/all-mpnet-base-v2
58,f1 score,f1 score,"[""dimensionality reduction . document retrieval . early stopping . error analysis . error cost function . estimated parameters . evaluation metrics . expectation maximization . f1 score . face detection . false negative false negatives . false positives . feature engineering . feature extraction feature extractor . feature scaling . feature selection . feature space . feature vector feature vectors . forward propagation . gaussian density gaussian probability density gaussian distribution normal d""]",bert,,sentence-transformers/all-mpnet-base-v2
59,face detection,face detection,"[""dimensionality reduction . document retrieval . early stopping . error analysis . error cost function . estimated parameters . evaluation metrics . expectation maximization . f1 score . face detection . false negative false negatives . false positives . feature engineering . feature extraction feature extractor . feature scaling . feature selection . feature space . feature vector feature vectors . forward propagation . gaussian density gaussian probability density gaussian distribution normal d""]",bert,,sentence-transformers/all-mpnet-base-v2
60,false negative,false negative::;false negatives,"[""dimensionality reduction . document retrieval . early stopping . error analysis . error cost function . estimated parameters . evaluation metrics . expectation maximization . f1 score . face detection . false negative false negatives . false positives . feature engineering . feature extraction feature extractor . feature scaling . feature selection . feature space . feature vector feature vectors . forward propagation . gaussian density gaussian probability density gaussian distribution normal d""]",bert,,sentence-transformers/all-mpnet-base-v2
61,false positives,false positives,"[""dimensionality reduction . document retrieval . early stopping . error analysis . error cost function . estimated parameters . evaluation metrics . expectation maximization . f1 score . face detection . false negative false negatives . false positives . feature engineering . feature extraction feature extractor . feature scaling . feature selection . feature space . feature vector feature vectors . forward propagation . gaussian density gaussian probability density gaussian distribution normal d""]",bert,,sentence-transformers/all-mpnet-base-v2
62,feature engineering,feature engineering,"[""dimensionality reduction . document retrieval . early stopping . error analysis . error cost function . estimated parameters . evaluation metrics . expectation maximization . f1 score . face detection . false negative false negatives . false positives . feature engineering . feature extraction feature extractor . feature scaling . feature selection . feature space . feature vector feature vectors . forward propagation . gaussian density gaussian probability density gaussian distribution normal d""]",bert,,sentence-transformers/all-mpnet-base-v2
63,feature extraction,feature extraction::;feature extractor,"[""dimensionality reduction . document retrieval . early stopping . error analysis . error cost function . estimated parameters . evaluation metrics . expectation maximization . f1 score . face detection . false negative false negatives . false positives . feature engineering . feature extraction feature extractor . feature scaling . feature selection . feature space . feature vector feature vectors . forward propagation . gaussian density gaussian probability density gaussian distribution normal d""]",bert,,sentence-transformers/all-mpnet-base-v2
64,feature scaling,feature scaling,"[""dimensionality reduction . document retrieval . early stopping . error analysis . error cost function . estimated parameters . evaluation metrics . expectation maximization . f1 score . face detection . false negative false negatives . false positives . feature engineering . feature extraction feature extractor . feature scaling . feature selection . feature space . feature vector feature vectors . forward propagation . gaussian density gaussian probability density gaussian distribution normal d""]",bert,,sentence-transformers/all-mpnet-base-v2
65,feature selection,feature selection,"[""dimensionality reduction . document retrieval . early stopping . error analysis . error cost function . estimated parameters . evaluation metrics . expectation maximization . f1 score . face detection . false negative false negatives . false positives . feature engineering . feature extraction feature extractor . feature scaling . feature selection . feature space . feature vector feature vectors . forward propagation . gaussian density gaussian probability density gaussian distribution normal d""]",bert,,sentence-transformers/all-mpnet-base-v2
