part_concept,whole_concept
gnn loss function,graph variational autoencoder
sampling,graph variational autoencoder
variational autoencoder,graph variational autoencoder
latent space,graph variational autoencoder
gaussian prior,graph variational autoencoder
reconstruction loss,graph variational autoencoder
kl divergence,graph variational autoencoder
decoder,graph variational autoencoder
graph reconstruction,graph variational autoencoder
embedding matrix,shallow node embedding
similarity function,shallow node embedding
graph structure encoding,shallow node embedding
constrained embedding,shallow node embedding
node similarity,shallow node embedding
shared neighbors,shallow node embedding
loss objective,shallow node embedding
adjacency matrix,graph structure encoding
feature matrix,graph structure encoding
edge feature matrix,graph structure encoding
embedding matrix,constrained embedding
node similarity,constrained embedding
shared neighbors,constrained embedding
loss objective,constrained embedding
similarity function,node similarity
shared neighbors,node similarity
feature integration,graph feature representation
node-based features,graph feature representation
edge-based features,graph feature representation
feature extraction,graph feature representation
graph-based features,graph feature representation
graph feature embedding,graph feature representation
graph feature compression,graph feature representation
graph feature reduction,graph feature representation
node embedding,node clustering
k-means clustering,node clustering
similarity function,node clustering
k-means clustering,graph clustering
similarity function,graph clustering
graph feature representation,graph clustering
node embedding,node regression
feature matrix,node regression
training samples,node regression
prediction head,node regression
mean squared error,node regression
output scores,node regression
loss objective,node regression
input graph,node regression
output label,node regression
mean absolute error,node regression
subgraph,graphlets
vertex set,graphlets
induced subgraph,graphlets
edge set,graphlets
subgraph sampling,graph sampling
random neighborhood sampling,graph sampling
graph partitioning,graph sampling
node sampling,graph sampling
layer sampling,graph sampling
graph generation model,graph generation
learn the distribution of given graphs,graph generation
adjacency matrix generation,graph generation
node feature generation,graph generation
edge feature generation,graph generation
gnn loss function,graph generation
loss minimization,graph generation
density estimation,graph generation
sampling,graph generation
noise distribution,graph generation
deep network function,graph generation
decoder,graph generation
latent variable,graph generation
graph distribution,graph generation
graph pooling,graph regression
prediction head,graph regression
mean squared error,graph regression
output scores,graph regression
global embedding aggregation,graph regression
loss objective,graph regression
training graphs,graph regression
global pooling,graph regression
input graph,graph regression
output label,graph regression
mean absolute error,graph regression
learn the distribution of given graphs,graph generation model
adjacency matrix generation,graph generation model
node feature generation,graph generation model
edge feature generation,graph generation model
gnn loss function,graph generation model
loss minimization,graph generation model
density estimation,graph generation model
sampling,graph generation model
noise distribution,graph generation model
deep network function,graph generation model
decoder,graph generation model
latent variable,graph generation model
graph distribution,graph generation model
adjacency matrix generation,graph generative adversarial network
node feature generation,graph generative adversarial network
edge feature generation,graph generative adversarial network
gnn loss function,graph generative adversarial network
loss minimization,graph generative adversarial network
sampling,graph generative adversarial network
noise distribution,graph generative adversarial network
deep network function,graph generative adversarial network
graph distribution,graph generative adversarial network
graph feature sampling,graph augmentation
graph feature generation,graph augmentation
subgraph sampling,graph augmentation
node sampling,graph augmentation
node feature generation,graph augmentation
edge feature generation,graph augmentation
node addition,graph augmentation
edge connection,graph augmentation
logistic activation,binary classification task
predicted class probability,binary classification task
training samples,binary classification task
cross-entropy,binary classification task
prediction head,binary classification task
loss objective,binary classification task
output label,binary classification task
activation function,graph neural architecture
learnable parameters,graph neural architecture
transformation layers,graph neural architecture
graph pooling,graph neural architecture
layer-wise normalization,graph neural architecture
message passing,graph neural architecture
network output function,graph neural architecture
prediction head,graph neural architecture
hyperparameters,graph neural architecture
parameter sharing,graph neural architecture
operation order,graph neural architecture
graph neural network layer,graph neural architecture
linear layer,graph neural architecture
activation function,transformation layers
mapping to next layer,transformation layers
layer-wise normalization,transformation layers
linear layer,transformation layers
node embedding,mapping to next layer
activation function,mapping to next layer
bias,mapping to next layer
matrix multiplication,mapping to next layer
function f,mapping to next layer
learnable parameters,mapping to next layer
layer-wise normalization,mapping to next layer
linear layer,mapping to next layer
node embedding,graph pooling
dot product,graph pooling
element-wise product,graph pooling
projection vector,graph pooling
node scores,graph pooling
top-k node selection,graph pooling
sigmoid activation,graph pooling
coarsened graph,graph pooling
node embedding,graph feature pooling
global pooling,graph feature pooling
adjacency matrix,graph convolutional network
node embedding,graph convolutional network
feature matrix,graph convolutional network
fixed adjacency matrix,graph convolutional network
learned weights,graph convolutional network
activation function,graph convolutional network
bias,graph convolutional network
matrix multiplication,graph convolutional network
mapping to next layer,graph convolutional network
message passing,graph convolutional network
self-loop augmentation,graph convolutional network
receptive field,graph convolutional network
kipf normalization,graph convolutional network
degree matrix,graph convolutional network
local embedding aggregation,graph convolutional network
graph-based aggregation,graph convolutional network
graph neural network layer,graph convolutional network
linear layer,graph convolutional network
aggregation function,graph convolutional network
node update,graph convolutional network
weights,deep neural network
activation function,deep neural network
bias,deep neural network
hidden layer,deep neural network
composed feature transformation,deep neural network
nonlinear transformation,deep neural network
network mapping function,deep neural network
transformation layers,deep neural network
prediction head,deep neural network
dropout,deep neural network
batch normalization,deep neural network
linear layer,deep neural network
node embedding,message passing
feature matrix,message passing
linear aggregation,message passing
learnable parameters,message passing
mapping to next layer,message passing
receptive field,message passing
local embedding aggregation,message passing
graph-based aggregation,message passing
aggregation function,message passing
node update,message passing
edge update,message passing
loop,self-loop augmentation
multilayer perceptron,network output function
prediction head,network output function
output scores,network output function
softmax normalization,network output function
global pooling,network output function
weights,multilayer perceptron
activation function,multilayer perceptron
bias,multilayer perceptron
hidden layer,multilayer perceptron
nonlinear transformation,multilayer perceptron
network mapping function,multilayer perceptron
prediction head,multilayer perceptron
linear layer,multilayer perceptron
node embedding,graph attention
feature matrix,graph attention
learned weights,graph attention
dot product,graph attention
message passing,graph attention
attention,graph attention
softmax normalization,graph attention
attention masking,graph attention
graph-based aggregation,graph attention
attention mechanism,graph attention
linear layer,graph attention
softmax,graph attention
projection vector,graph attention
node scores,graph attention
node embedding,graph transformer
feature matrix,graph transformer
learned weights,graph transformer
graph structure encoding,graph transformer
transformation layers,graph transformer
layer-wise normalization,graph transformer
multilayer perceptron,graph transformer
attention,graph transformer
dropout,graph transformer
softmax normalization,graph transformer
attention masking,graph transformer
attention mechanism,graph transformer
linear layer,graph transformer
softmax,graph transformer
skip connection,graph transformer
node embedding,graphsage
feature matrix,graphsage
activation function,graphsage
mapping to next layer,graphsage
message passing,graphsage
receptive field,graphsage
parameter sharing,graphsage
local embedding aggregation,graphsage
random neighborhood sampling,graphsage
graph neural network layer,graphsage
linear layer,graphsage
mean aggregator,graphsage
max aggregator,graphsage
node update,graphsage
embedding matrix,transformer
learned weights,transformer
transformation layers,transformer
layer-wise normalization,transformer
multilayer perceptron,transformer
attention,transformer
dropout,transformer
softmax normalization,transformer
attention masking,transformer
attention mechanism,transformer
linear layer,transformer
softmax,transformer
skip connection,transformer
node embedding,contrastive learning
similarity function,contrastive learning
close/similar pairs,contrastive learning
node similarity,contrastive learning
graph feature embedding,contrastive learning
graph augmentation,contrastive learning
cross-entropy,contrastive learning
loss objective,contrastive learning
graph representation learning,contrastive learning
training graphs,domain adaptation
test graph,domain adaptation
domain a,domain adaptation
source graph distribution,domain adaptation
target domain,domain adaptation
target graph distribution,domain adaptation
domain b,domain adaptation
graph neural architecture,neural architecture search
learnable parameters,neural architecture search
hyperparameters,neural architecture search
activation function,computation graph
network mapping function,computation graph
loss function,computation graph
matrix multiplication,computation graph
function f,computation graph
learnable parameters,computation graph
linear layer,computation graph
logistic activation,cross-entropy
predicted class probability,cross-entropy
softmax normalization,cross-entropy
output label,cross-entropy
logistic activation,prediction head
bias,prediction head
output scores,prediction head
softmax normalization,prediction head
linear layer,prediction head
backpropagation,stochastic gradient descent
training samples,stochastic gradient descent
loss function,stochastic gradient descent
learnable parameters,stochastic gradient descent
backward pass,stochastic gradient descent
parameter update,stochastic gradient descent
epoch,stochastic gradient descent
computation graph,backward pass
chain rule,backward pass
training samples,transductive learning
testing node,transductive learning
input graph,transductive learning
output scores,mean squared error
output label,mean squared error
training samples,inductive learning
shared mapping,inductive learning
testing node,inductive learning
parameter sharing,inductive learning
training graphs,inductive learning
test graph,inductive learning
training graphs,inductive capability
test graph,inductive capability
test set inference,inductive capability
learned weights,parameter sharing
shared mapping,parameter sharing
graph pooling,graph-level regression
prediction head,graph-level regression
mean squared error,graph-level regression
global embedding aggregation,graph-level regression
loss objective,graph-level regression
training graphs,graph-level regression
global pooling,graph-level regression
input graph,graph-level regression
output label,graph-level regression
mean absolute error,graph-level regression
node embedding,global mean pooling
average pooling,global mean pooling
aggregation function,global mean pooling
node embedding,global max pooling
aggregation function,global max pooling
node embedding,global sum pooling
linear aggregation,global sum pooling
aggregation function,global sum pooling
graph pooling,hierarchical pooling
coarsened graph,hierarchical pooling
learnable parameters,batch normalization
empirical mean,batch normalization
standard deviation,batch normalization
adjacency matrix,kipf normalization
symmetric matrix,kipf normalization
matrix multiplication,kipf normalization
self-loop augmentation,kipf normalization
degree matrix,kipf normalization
node embedding,global embedding aggregation
aggregation function,global embedding aggregation
node embedding,local embedding aggregation
graph-based aggregation,local embedding aggregation
aggregation function,local embedding aggregation
node embedding,graph attention network
feature matrix,graph attention network
learned weights,graph attention network
message passing,graph attention network
graph attention,graph attention network
attention,graph attention network
dropout,graph attention network
softmax normalization,graph attention network
attention masking,graph attention network
graph-based aggregation,graph attention network
graph neural network layer,graph attention network
attention mechanism,graph attention network
linear layer,graph attention network
node update,graph attention network
softmax,graph attention network
projection vector,graph attention network
node scores,graph attention network
adjacency matrix,graph-based aggregation
node embedding,graph-based aggregation
topology,graph-based aggregation
aggregation function,graph-based aggregation
regularization,loss objective
backpropagation,batch gradient descent
training samples,batch gradient descent
loss function,batch gradient descent
backward pass,batch gradient descent
parameter update,batch gradient descent
backpropagation,epoch
parameter update,epoch
mini-batch gradient descent,epoch
batching,epoch
receptive field,node embedding computation graph
rooted subtree,node embedding computation graph
node computational graph,node embedding computation graph
backpropagation,mini-batch gradient descent
training samples,mini-batch gradient descent
loss function,mini-batch gradient descent
backward pass,mini-batch gradient descent
parameter update,mini-batch gradient descent
batching,mini-batch gradient descent
subgraph,subgraph sampling
receptive field,random neighborhood sampling
node computational graph,random neighborhood sampling
sampling,random neighborhood sampling
subgraph,graph partitioning
disjoint subsets,graph partitioning
sampling,node sampling
adjacency matrix,ladies
graph neural network,ladies
graph sampling,ladies
parameter update,ladies
node embedding computation graph,ladies
mini-batch gradient descent,ladies
subgraph sampling,ladies
node sampling,ladies
layer sampling,ladies
bipartite graph,ladies
node computational graph,ladies
sampling,ladies
subgraph,graphsaint
graph neural network,graphsaint
graph sampling,graphsaint
parameter update,graphsaint
mini-batch gradient descent,graphsaint
subgraph sampling,graphsaint
node sampling,graphsaint
batching,graphsaint
sampling,graphsaint
adjacency matrix,fastgcn
feature matrix,fastgcn
graph neural network,fastgcn
graph sampling,fastgcn
parameter update,fastgcn
mini-batch gradient descent,fastgcn
node sampling,fastgcn
layer sampling,fastgcn
bipartite graph,fastgcn
empirical mean,fastgcn
sampling,fastgcn
vertex set,bipartite graph
edge set,bipartite graph
empirical mean,standard deviation
adjacency matrix,graph neural network layer
node embedding,graph neural network layer
feature matrix,graph neural network layer
learned weights,graph neural network layer
activation function,graph neural network layer
bias,graph neural network layer
matrix multiplication,graph neural network layer
mapping to next layer,graph neural network layer
layer-wise normalization,graph neural network layer
message passing,graph neural network layer
receptive field,graph neural network layer
parameter sharing,graph neural network layer
operation order,graph neural network layer
dropout,graph neural network layer
batch normalization,graph neural network layer
local embedding aggregation,graph neural network layer
graph-based aggregation,graph neural network layer
linear layer,graph neural network layer
aggregation function,graph neural network layer
edge feature matrix,graph neural network layer
node update,graph neural network layer
learned weights,attention mechanism
dot product,attention mechanism
softmax normalization,attention mechanism
attention masking,attention mechanism
linear layer,attention mechanism
softmax,attention mechanism
learned weights,linear layer
weights,linear layer
bias,linear layer
learnable parameters,linear layer
vertex set,training graphs
edge set,training graphs
vertex set,test graph
edge set,test graph
training samples,batching
training graphs,batching
node embedding,test set inference
prediction head,test set inference
output scores,test set inference
test graph,test set inference
input graph,test set inference
output label,test set inference
multilayer perceptron,injective aggregation
injective hash function,injective aggregation
multiset,injective aggregation
aggregation function,injective aggregation
adjacency matrix,node computational graph
feature matrix,node computational graph
message passing,node computational graph
receptive field,node computational graph
graph neural network layer,node computational graph
rooted subtree,node computational graph
k-hop similarity,node computational graph
symmetric neighborhood,node computational graph
node embedding,gin
linear aggregation,gin
activation function,gin
learnable parameters,gin
message passing,gin
multilayer perceptron,gin
graph neural network layer,gin
injective aggregation,gin
weisfeiler-lehman graph isomorphism test,gin
multiset,gin
aggregation function,gin
graph neural network,dropgnn
average pooling,dropgnn
dropout,dropgnn
node sampling,dropgnn
graph neural network layer,dropgnn
input graph,dropgnn
multiple output scores,dropgnn
node labels,weisfeiler-lehman graph isomorphism test
rooted subtree,weisfeiler-lehman graph isomorphism test
injective aggregation,weisfeiler-lehman graph isomorphism test
wl color refinement algorithm,weisfeiler-lehman graph isomorphism test
multiset,weisfeiler-lehman graph isomorphism test
node labels,wl color refinement algorithm
rooted subtree,wl color refinement algorithm
injective hash function,wl color refinement algorithm
multiset,wl color refinement algorithm
aggregation function,wl color refinement algorithm
training graphs,supervised generative gnn tasks
input graph,supervised generative gnn tasks
output label,supervised generative gnn tasks
target graph distribution,supervised generative gnn tasks
gnn loss function,supervised generative gnn tasks
adjacency matrix,input graph
feature matrix,input graph
vertex set,input graph
edge set,input graph
edge feature matrix,input graph
edge attributes,input graph
training graphs,domain a
source graph distribution,domain a
output scores,multiple output scores
training graphs,source graph distribution
source graph distribution,learn the distribution of given graphs
graph distribution,learn the distribution of given graphs
test graph,target domain
target graph distribution,target domain
test graph,target graph distribution
test graph,domain b
target graph distribution,domain b
adjacency matrix,adjacency matrix generation
feature matrix,node feature generation
random initialization,node feature generation
topological attribute initialization,node feature generation
identity vector initialization,node feature generation
edge feature matrix,edge feature generation
edge attributes,edge feature generation
adjacency matrix,graph representation learning
node embedding,graph representation learning
edge embedding,graph representation learning
feature matrix,graph representation learning
feature extraction,graph representation learning
graph-based features,graph representation learning
graph structure encoding,graph representation learning
graph feature embedding,graph representation learning
loss objective,graph representation learning
input graph,graph representation learning
graph generation model,multigraph prediction
input graph,multigraph prediction
target graph distribution,multigraph prediction
adjacency matrix generation,multigraph prediction
node feature generation,multigraph prediction
edge feature generation,multigraph prediction
gnn mapping function,multigraph prediction
message passing,gnn mapping function
local embedding aggregation,gnn mapping function
graph-based aggregation,gnn mapping function
graph neural network layer,gnn mapping function
graph neural network,graph super-resolution
graph generation model,graph super-resolution
adjacency matrix generation,graph super-resolution
node feature generation,graph super-resolution
edge feature generation,graph super-resolution
gnn mapping function,graph super-resolution
coarsened graph,graph super-resolution
graph reconstruction,graph super-resolution
graph generation model,brain graph evolution prediction
graph generative adversarial network,brain graph evolution prediction
test graph,brain graph evolution prediction
input graph,brain graph evolution prediction
target graph distribution,brain graph evolution prediction
multigraph prediction,brain graph evolution prediction
gnn mapping function,brain graph evolution prediction
sequential generating,brain graph evolution prediction
kl divergence,brain graph evolution prediction
mean absolute error,brain graph evolution prediction
graph distribution,brain graph evolution prediction
loss function,gnn loss function
regularization,gnn loss function
sparsity regularization,gnn loss function
gnn loss function,loss minimization
molecular graph,molecular graph generation
node type,molecular graph generation
edge type,molecular graph generation
graph generation model,molecular graph generation
adjacency matrix generation,molecular graph generation
node feature generation,molecular graph generation
edge feature generation,molecular graph generation
maximum likelihood estimation,density estimation
graph distribution,density estimation
noise distribution,sampling
gaussian distribution,sampling
loss minimization,maximum likelihood estimation
graph distribution,maximum likelihood estimation
sampling,unconditional generation
noise distribution,unconditional generation
deep network function,unconditional generation
graph distribution,unconditional generation
sampling,one-shot generating
deep network function,one-shot generating
graph distribution,one-shot generating
node-sequence,sequential generating
node addition,sequential generating
edge-sequence,sequential generating
motif-sequence,sequential generating
rule-sequence,sequential generating
edge connection,sequential generating
node addition,node-sequence
edge connection,node-sequence
edge connection,edge-sequence
node addition,motif-sequence
edge connection,motif-sequence
node addition,rule-sequence
edge connection,rule-sequence
fixed prior,variational autoencoder
encode-decode function,variational autoencoder
latent representation,variational autoencoder
loss function,variational autoencoder
empirical mean,variational autoencoder
standard deviation,variational autoencoder
sampling,variational autoencoder
gaussian distribution,variational autoencoder
latent space,variational autoencoder
gaussian prior,variational autoencoder
reconstruction loss,variational autoencoder
kl divergence,variational autoencoder
decoder,variational autoencoder
graph matching,reconstruction loss
feature matrix,graphvae
encode-decode function,graphvae
graph convolutional network,graphvae
edge feature matrix,graphvae
input graph,graphvae
adjacency matrix generation,graphvae
node feature generation,graphvae
edge feature generation,graphvae
graph representation learning,graphvae
sampling,graphvae
deep network function,graphvae
one-shot generating,graphvae
variational autoencoder,graphvae
latent space,graphvae
gaussian prior,graphvae
reconstruction loss,graphvae
kl divergence,graphvae
decoder,graphvae
graph matching,graphvae
softmax,graphvae
argmax,graphvae
edge attributes,graphvae
graph reconstruction,graphvae
graph distribution,graphvae
latent representation,decoder
deep network function,decoder
latent space,decoder
adjacency matrix,graph matching
feature matrix,graph matching
node ordering,graph matching
permutation,graph matching
permutation matrix,graph matching
edge feature matrix,graph matching
softmax,graph matching
argmax,graph matching
node embedding,node scores
dot product,node scores
projection vector,node scores
sigmoid activation,node scores
adjacency matrix,encoder-decoder gnns
node embedding,encoder-decoder gnns
edge embedding,encoder-decoder gnns
feature matrix,encoder-decoder gnns
graph neural network,encoder-decoder gnns
encode-decode function,encoder-decoder gnns
latent representation,encoder-decoder gnns
graph neural network layer,encoder-decoder gnns
edge feature matrix,encoder-decoder gnns
input graph,encoder-decoder gnns
graph representation learning,encoder-decoder gnns
decoder,encoder-decoder gnns
graph reconstruction,encoder-decoder gnns
node embedding,node-edge co-transformation
edge embedding,node-edge co-transformation
input graph,node-edge co-transformation
domain a,node-edge co-transformation
target domain,node-edge co-transformation
target graph distribution,node-edge co-transformation
domain b,node-edge co-transformation
node feature generation,node-edge co-transformation
edge feature generation,node-edge co-transformation
gnn mapping function,node-edge co-transformation
node update,node-edge co-transformation
edge update,node-edge co-transformation
node embedding,embedding-based nect
edge embedding,embedding-based nect
latent representation,embedding-based nect
node feature generation,embedding-based nect
edge feature generation,embedding-based nect
graph representation learning,embedding-based nect
decoder,embedding-based nect
input graph,editing-based nect
node feature generation,editing-based nect
edge feature generation,editing-based nect
node addition,editing-based nect
edge connection,editing-based nect
node update,editing-based nect
edge update,editing-based nect
node embedding,top-k node selection
dot product,top-k node selection
learnable parameters,top-k node selection
argmax,top-k node selection
element-wise product,top-k node selection
projection vector,top-k node selection
node scores,top-k node selection
sigmoid activation,top-k node selection
node embedding,graph unet
graph pooling,graph unet
graph neural network layer,graph unet
decoder,graph unet
element-wise product,graph unet
projection vector,graph unet
node scores,graph unet
encoder-decoder gnns,graph unet
skip connection,graph unet
top-k node selection,graph unet
sigmoid activation,graph unet
coarsened graph,graph unet
graph reconstruction,graph unet
graph neural network,dag-to-dag
latent representation,dag-to-dag
input graph,dag-to-dag
target graph distribution,dag-to-dag
sequential generating,dag-to-dag
node-sequence,dag-to-dag
node addition,dag-to-dag
edge connection,dag-to-dag
decoder,dag-to-dag
encoder-decoder gnns,dag-to-dag
directed acyclic graph,dag-to-dag
graph reconstruction,dag-to-dag
vertex set,directed acyclic graph
edge set,directed acyclic graph
adjacency matrix,coarsened graph
feature matrix,coarsened graph
vertex set,coarsened graph
edge set,coarsened graph
reconstruction loss,reconstruction
decoder,reconstruction
adjacency matrix generation,graph reconstruction
node feature generation,graph reconstruction
edge feature generation,graph reconstruction
reconstruction loss,graph reconstruction
decoder,graph reconstruction
adjacency matrix,graph u-autoencoder
node embedding,graph u-autoencoder
feature matrix,graph u-autoencoder
graph pooling,graph u-autoencoder
input graph,graph u-autoencoder
latent space,graph u-autoencoder
decoder,graph u-autoencoder
encoder-decoder gnns,graph u-autoencoder
skip connection,graph u-autoencoder
top-k node selection,graph u-autoencoder
graph unet,graph u-autoencoder
coarsened graph,graph u-autoencoder
reconstruction,graph u-autoencoder
graph reconstruction,graph u-autoencoder
latent variable,graph u-autoencoder
node embedding,ned-vae
edge embedding,ned-vae
feature matrix,ned-vae
encode-decode function,ned-vae
edge feature matrix,ned-vae
input graph,ned-vae
node feature generation,ned-vae
edge feature generation,ned-vae
sampling,ned-vae
variational autoencoder,ned-vae
latent space,ned-vae
gaussian prior,ned-vae
reconstruction loss,ned-vae
node update,ned-vae
edge update,ned-vae
kl divergence,ned-vae
decoder,ned-vae
node-edge co-transformation,ned-vae
graph reconstruction,ned-vae
latent variable,ned-vae
graph distribution,ned-vae
output scores,mean absolute error
output label,mean absolute error
degree centrality,degree distribution
number of nodes,degree distribution
graph efficiency,evaluation metrics
graph resilience,evaluation metrics
node centrality measures,evaluation metrics
percolation threshold,evaluation metrics
graph density,evaluation metrics
graph sparsity,evaluation metrics
degree centrality,evaluation metrics
betweenness centrality,evaluation metrics
mean absolute error,evaluation metrics
eigenvector centrality,evaluation metrics
degree distribution,evaluation metrics
maximum mean discrepancy,evaluation metrics
fréchet inception distance,evaluation metrics
empirical mean,maximum mean discrepancy
graph distribution,maximum mean discrepancy
covariance matrix,fréchet inception distance
