concept_1,concept_2
gradient,partial derivative
gradient,lipschitz continuous gradient
gradient,first order condition for optimality
automatic differentiation,chain rule
automatic differentiation,numerical approximation
automatic differentiation,backpropagation
chain rule,backpropagation
numerical approximation,first order taylor series approximation
numerical approximation,second order taylor series approximation
first order taylor series approximation,second order taylor series approximation
stationary points,saddle points
stationary points,second order optimality condition
stationary points,first order condition for optimality
first order system of equations,first order condition for optimality
closed form solution,normal equations
rayleigh quotient,eigenvalue decomposition
rayleigh quotient,eigenvalues
convex quadratic function,quadratic function
convex quadratic function,least squares cost function
convex quadratic function,quadratic cost function
symmetric linear system,normal equations
momentum accelerated gradient descent,normalized gradient descent
momentum accelerated gradient descent,mini-batch gradient descent
normalized gradient descent,mini-batch gradient descent
lipschitz continuous gradient,curvature
second order optimality condition,first order condition for optimality
second order optimality condition,second order optimization
second order taylor series approximation,curvature
second order taylor series approximation,second order optimization
convexity,non-convex minimization
convexity,second order definition of convexity
convexity,convex cost function
convexity,convexity of cost functions
convexity,bi-convex function
curvature,hessian matrix
positive semi-definite matrix,hessian matrix
positive semi-definite matrix,non-negative eigenvalues
quadratic function,quadratic cost function
quadratic function,degree two polynomial expansion
eigenvalues of the hessian,hessian matrix
eigenvalues of the hessian,eigenvalue decomposition
eigenvalues of the hessian,eigenvalues
newton's method,regularized newton's method
newton's method,second order optimization
newton's method,hessian-free optimization
newton's method,sub-sampled newton's step
newton's method,quasi-newton method
newton's method,secant method
regularized newton's method,hessian-free optimization
regularized newton's method,sub-sampled newton's step
regularized newton's method,quasi-newton method
convergence criterion,early stopping
hessian matrix,hessian of softmax cost
non-convex minimization,bi-convex function
non-convex minimization,non-convex cost function
second order optimization,hessian-free optimization
second order optimization,quasi-newton method
hessian-free optimization,sub-sampled newton's step
hessian-free optimization,quasi-newton method
eigenvalue decomposition,eigenvalues
bfgs method,quasi-newton method
bfgs method,secant method
bfgs method,sherman-morrison identity
quasi-newton method,secant method
quasi-newton method,sherman-morrison identity
least absolute deviations,least squares cost function
least absolute deviations,log error cost
bias,feature-touching weights
least squares cost function,normal equations
least squares cost function,quadratic cost function
least squares cost function,least squares cost for incomplete data
least squares cost function,pca least squares cost
least squares cost function,kernelized least squares
feature,histogram features
feature,discriminative features
feature,nonlinear feature engineering
feature-touching weights,weight matrix
unconstrained optimization,constrained softmax cost
vectorized implementation,mini-batch gradient descent
vectorized implementation,computational trade-off
standard normalization,weight normalization
standard normalization,mean-centering
standard normalization,normalization
standard normalization,batch normalization
multi-output regression,nonlinear regression
convex combination,linear combination
non-negative eigenvalues,eigenvalues
quadratic cost function,convex cost function
inner product,outer product
inner product,inner product similarity
perceptron cost,rectified linear unit
perceptron cost,softmax cost
perceptron cost,margin-perceptron cost
perceptron cost,multi-class perceptron cost
softmax approximation to max,softmax cost
softmax approximation to max,smoothed margin-perceptron
softmax approximation to max,softmax cost function
rectified linear unit,activation function
rectified linear unit,step function
rectified linear unit,sigmoid activation
rectified linear unit,maxout activation
convex cost function,softmax cost function
convex cost function,convexity of cost functions
convex cost function,bi-convex function
convex cost function,non-convex cost function
point-wise cost,log error cost
point-wise cost,misclassification count
point-wise cost,point-wise weights
trivial solution,underfitting
softmax cost,categorical cross entropy cost
softmax cost,softmax cost function
weight divergence to infinity,numerical instability
weight divergence to infinity,vanishing gradient problem
numerical instability,vanishing gradient problem
early stopping,regularization
early stopping,early stopping by validation accuracy
early stopping,pruning
regularization,regularization parameter
regularization,covariance matrix regularization
regularization,regularizer
regularization,regularized cost function
regularization,kernelized l2 regularizer
normal vector to hyperplane,signed distance to decision boundary
normal vector to hyperplane,margin computation via normal vector
signed distance to decision boundary,margin of separating hyperplane
signed distance to decision boundary,margin computation via normal vector
signed distance to decision boundary,decision boundary
weight normalization,normalization
weight normalization,batch normalization
regularization parameter,optimization dial
l2 regularizer,covariance matrix regularization
l2 regularizer,regularizer
l2 regularizer,l2 regularization based cross-validation
l2 regularizer,kernelized l2 regularizer
regularized softmax cost,constrained softmax cost
regularized softmax cost,margin-perceptron cost
regularized softmax cost,soft-margin support vector machine
regularized softmax cost,categorical cross entropy cost
regularized softmax cost,weighted softmax cost
regularized softmax cost,softmax cost function
regularized softmax cost,regularized cost function
regularized softmax cost,kernelized logistic regression
constrained softmax cost,weighted softmax cost
constrained softmax cost,softmax cost function
margin of separating hyperplane,maximum margin decision boundary
margin of separating hyperplane,margin computation via normal vector
margin-perceptron cost,smoothed margin-perceptron
margin-perceptron cost,hard-margin svm
margin-perceptron cost,soft-margin support vector machine
margin-perceptron cost,multi-class perceptron cost
maximum margin decision boundary,hard-margin svm
maximum margin decision boundary,piecewise linear decision boundary
maximum margin decision boundary,decision boundary
hard-margin svm,soft-margin support vector machine
hard-margin svm,support vectors
hard-margin svm,log-loss svm
soft-margin support vector machine,support vectors
soft-margin support vector machine,log-loss svm
soft-margin support vector machine,kernelized squared margin
categorical cross entropy cost,log error cost
categorical cross entropy cost,softmax cost function
one-hot encoded labels,categorical labels
one-hot encoded labels,standard basis vector constraint
confidence scoring,weighting by confidence
classification accuracy,misclassification count
classification accuracy,early stopping by validation accuracy
classification accuracy,cost function versus misclassification discrepancy
classification accuracy,balanced accuracy
classification accuracy,confusion matrix
classification accuracy,precision
classification accuracy,multi-class classification metrics
misclassification count,cost function versus misclassification discrepancy
misclassification count,confusion matrix
step function approximation,step function
balanced accuracy,confusion matrix
balanced accuracy,precision
balanced accuracy,multi-class classification metrics
balanced accuracy,class imbalance
confusion matrix,precision
confusion matrix,multi-class classification metrics
weighted classification,weighted softmax cost
weighted classification,point-wise weights
weighted classification,weighting by confidence
weighted classification,inverse class frequency weighting
weighted classification,weighted multi-class classification
weighted classification,class imbalance
weighted softmax cost,point-wise weights
weighted softmax cost,inverse class frequency weighting
weighted softmax cost,weighted multi-class classification
weighted softmax cost,softmax cost function
weighted softmax cost,kernelized multi-class softmax
point-wise weights,weighting by confidence
point-wise weights,inverse class frequency weighting
inverse class frequency weighting,class imbalance
linear multi-class classification,multi-class perceptron
linear multi-class classification,categorical multi-class classification
linear multi-class classification,weighted multi-class classification
linear multi-class classification,one-versus-all classification
linear multi-class classification,fusion rule
linear multi-class classification,multi-class classification metrics
linear multi-class classification,nonlinear classification
multi-class perceptron,softmax cost function
multi-class perceptron,multi-class perceptron cost
multi-class perceptron,multi-class classification metrics
categorical multi-class classification,weighted multi-class classification
categorical multi-class classification,one-versus-all classification
categorical multi-class classification,multi-class classification metrics
categorical multi-class classification,categorical labels
weighted multi-class classification,one-versus-all classification
weighted multi-class classification,multi-class classification metrics
one-versus-all classification,fusion rule
fusion rule,mode
piecewise linear decision boundary,decision boundary
mini-batch gradient descent,batch size
mini-batch gradient descent,batch normalization
softmax cost function,multi-class perceptron cost
softmax cost function,hessian of softmax cost
softmax cost function,kernelized multi-class softmax
convexity of cost functions,bi-convex function
convexity of cost functions,non-convex cost function
spanning set,orthonormal spanning set
spanning set,complete package of fixed-shape units
mean-centering,normalization
mean-centering,batch normalization
orthonormal spanning set,orthogonal matrix
autoencoder formula,linear autoencoder
autoencoder formula,encoder-decoder composition
projection,principal component analysis
projection,dimension reduction
projection,orthogonal matrix
projection,transformed feature space
projection,orthogonal component r
linear autoencoder,principal component analysis
linear autoencoder,encoder-decoder composition
linear autoencoder,kernel pca
principal component analysis,dimension reduction
principal component analysis,matrix factorization
principal component analysis,scree plot
principal component analysis,pca least squares cost
principal component analysis,variance maximization
principal component analysis,kernel pca
dimension reduction,feature selection
dimension reduction,manifold
k-means clustering,cluster centroid
k-means clustering,cluster assignment
k-means clustering,intra-cluster distance
k-means clustering,kernel k-means
matrix factorization,non-negative matrix factorization
matrix factorization,sparse coding
matrix factorization,alternating minimization
least squares cost for incomplete data,pca least squares cost
least squares cost for incomplete data,kernelized least squares
cluster centroid,cluster assignment
cluster centroid,centroid initialization
cluster centroid,intra-cluster distance
cluster assignment,standard basis vector constraint
scree plot,variance maximization
non-negative matrix factorization,sparse coding
sparse coding,sparse feature selection
bi-convex function,non-convex cost function
orthogonal matrix,orthogonal component r
feature selection,feature learning
feature selection,sparse feature selection
feature selection,feature subsampling
boosting,ensembling
boosting,bagging
boosting,addition of trees
boosting,gradient boosting
boosting,random forests
histogram features,edge histogram features
histogram features,spectrogram
inner product similarity,normalization
inner product similarity,kernel matrix
normalization,batch normalization
stemming,stop words
edge histogram features,spectrogram
nonlinear feature engineering,transformed feature space
nonlinear feature engineering,output transformation
nonlinear feature engineering,feature learning
nonlinear regression,output transformation
transformed feature space,kernel pca
feature sharing,feature learning
feature sharing,feature subsampling
degree two polynomial expansion,polynomial kernel
manifold,kernel pca
kernel pca,kernel k-means
kernel pca,kernel trick
kernel pca,kernel matrix
universal approximators,fixed-shape universal approximators
universal approximators,fully-connected neural network
training error,overfitting
training error,underfitting
training error,validation error
overfitting,underfitting
overfitting,model complexity
overfitting,validation error
overfitting,high capacity model
overfitting,model capacity
underfitting,model complexity
underfitting,validation error
underfitting,model capacity
model complexity,high capacity model
model complexity,model capacity
model complexity,human interpretability
optimization dial,model capacity
high capacity model,model capacity
high capacity model,human interpretability
regularizer,regularized cost function
l2 regularization based cross-validation,k-folds cross-validation
l2 regularization based cross-validation,naive cross-validation
l2 regularization based cross-validation,regularization-based cross-validation
ensembling,bagging
ensembling,addition of trees
ensembling,gradient boosting
ensembling,random forests
k-folds cross-validation,naive cross-validation
k-folds cross-validation,regularization-based cross-validation
fixed-shape universal approximators,fourier basis
fixed-shape universal approximators,complete package of fixed-shape units
fourier basis,fourier kernel
exponential scaling of fixed-shape units,complete package of fixed-shape units
exponential scaling of fixed-shape units,computational trade-off
kernel trick,kernel matrix
kernel trick,kernelization via weight vector substitution
kernel trick,kernelized least squares
kernel trick,entry-wise kernel matrix construction
weight vector decomposition over feature matrix,orthogonal component r
weight vector decomposition over feature matrix,kernelization via weight vector substitution
kernel matrix,entry-wise kernel matrix construction
kernel matrix,weight matrix
kernelization via weight vector substitution,entry-wise kernel matrix construction
kernelized least squares,kernelized logistic regression
kernelized least squares,kernelized l2 regularizer
kernelized logistic regression,kernelized multi-class softmax
polynomial kernel,fourier kernel
kernelized l2 regularizer,kernelized squared margin
naive cross-validation,regularization-based cross-validation
fully-connected neural network,single-layer unit
fully-connected neural network,neural network architecture
fully-connected neural network,two-layer unit
activation function,vector activation
activation function,step function
activation function,sigmoid activation
activation function,maxout activation
single-layer unit,hidden layer
single-layer unit,two-layer unit
recursive construction,neural network architecture
recursive construction,recursively defined trees
hidden layer,input layer
hidden layer,output layer
hidden layer,two-layer unit
input layer,output layer
step function,sigmoid activation
step function,maxout activation
step function,staircase-like cost
vanishing gradient problem,sigmoid activation
vanishing gradient problem,backpropagation
sigmoid activation,maxout activation
batch normalization,internal covariate shift
split point,mid-point split point
split point,candidate split points
stump,local function approximator
stump,regression tree
stump,tree-based learner
stump,classification trees
bagging,addition of trees
bagging,feature subsampling
bagging,gradient boosting
bagging,random forests
leaf parameters,optimal leaf values
leaf parameters,leaf-value optimization
growing of a tree,recursively defined trees
growing of a tree,pruning
local function approximator,tree-based learner
regression tree,tree-based learner
regression tree,classification trees
addition of trees,residual fitting
addition of trees,gradient boosting
mid-point split point,candidate split points
optimal leaf values,leaf-value optimization
tree-based learner,classification trees
residual fitting,gradient boosting
feature subsampling,random forests
gradient boosting,random forests
supervised learning,unsupervised learning
cost function,loss function
linear regression,regression line
first derivative,gradient
tangent hyperplane,tangent line
negative semi-definite,positive semi-definite
eigenvalue decomposition,eigenvalues of a symmetric matrix
least squares,mean squared error
precision,specificity
linear multi-class classification,multi-class classification
categorical label encoding,categorical labels
multi-output regression,nonlinear multi-output regression
matrix completion,matrix factorization
linear recommender system,matrix factorization
cosine similarity,inner product similarity
frequency histogram,spectrogram
feature map,feature transformation
autoencoder,linear autoencoder
k-folds cross-validation,leave-one-out cross-validation
kernel,kernel matrix
single hidden-layer unit,single-layer unit
two-hidden-layer unit,two-layer unit
covariate shift,internal covariate shift
split,split point
majority voting,mode
classification accuracy,specificity
balanced accuracy,specificity
confusion matrix,specificity
confidence scoring,classification accuracy
confidence scoring,precision
signed distance to decision boundary,confidence scoring
margin of separating hyperplane,confidence scoring
cost function,training error
cost function,validation error
classification accuracy,validation error
cost function,classification accuracy
cost function,misclassification count
classification accuracy,softmax cost function
categorical cross entropy cost,classification accuracy
balanced accuracy,weighted classification
precision,class imbalance
early stopping by validation accuracy,validation error
cost function history plot,training error
batch of examples,mini-batch gradient descent
batch of examples,batch size
validation set,early stopping
validation set,early stopping by validation accuracy
generalization,model validation
generalization,cross-validation
model training,gradient descent
model training,backpropagation
model training,mathematical optimization
model validation,classification accuracy
cross-validation,regularization
machine learning,mathematical optimization
machine learning,model training
classification,softmax cost function
classification,hard-margin svm
classification,decision boundary
regression,least squares cost function
regression,normal equations
regression,gradient descent
clustering,cluster assignment
clustering,cluster centroid
principal component analysis,feature selection
feature engineering,principal component analysis
fully-connected neural network,backpropagation
neural network architecture,backpropagation
gradient descent,fully-connected neural network
growing of a tree,regression tree
growing of a tree,tree-based learner
tree-based learner,pruning
k-means clustering,alternating minimization
eigenvalue decomposition,principal component analysis
gradient descent,backpropagation
gradient descent,automatic differentiation
gradient descent,chain rule
gradient descent,gradient
gradient descent,newton's method
gradient descent,quasi-newton method
first order optimization methods,first order condition for optimality
first order optimization methods,first order taylor series approximation
derivative free optimization,hessian-free optimization
random sampling,random search
convergence,first order condition for optimality
global minimum,convergence
convergence,stationary points
first order condition for optimality,convergence criterion
second order optimality condition,convergence criterion
steplength,batch size
model parameters,learning rate
model parameters,batch size
model parameters,neural network architecture
model parameters,convergence criterion
gradient descent,gradient boosting
regularized newton's method,regularization
regularized newton's method,regularized cost function
sub-sampled newton's step,mini-batch gradient descent
newton's method,bfgs method
gradient descent,normal equations
convexity,convex combination
hessian matrix,kernel matrix
hessian matrix,weight matrix
hessian matrix,covariance matrix regularization
relu cost,rectified linear unit
softmax approximation,softmax
log-loss svm,categorical cross entropy cost
log-loss svm,log error cost
smoothed margin-perceptron,softmax cost function
smoothed margin-perceptron,soft-margin support vector machine
constrained softmax cost,hard-margin svm
maximum margin decision boundary,soft-margin support vector machine
training set,support vectors
support vectors,decision boundary
maximum margin decision boundary,support vectors
weight normalization,margin computation via normal vector
model parameters,normal vector to hyperplane
one-versus-all classification,softmax cost function
multi-class perceptron,one-versus-all classification
argmax decision rule,softmax
softmax,activation function
softmax,sigmoid activation
regularization,pruning
regularization,feature selection
weight normalization,l2 regularizer
regularization parameter,regularizer
regularization parameter,regularized cost function
regularization,regularization-based cross-validation
regularization,high capacity model
model capacity,neural network architecture
regularization parameter,model complexity
cross-validation,scree plot
feature space,feature
basis,fourier basis
projection,feature selection
mean-centering,principal component analysis
orthonormal spanning set,principal component analysis
principal component analysis,covariance matrix regularization
principal component analysis,non-negative matrix factorization
principal component analysis,sparse coding
feature engineering,dimension reduction
feature extraction,dimension reduction
feature extraction,feature selection
linear autoencoder,matrix factorization
matrix completion,least squares cost for incomplete data
alternating minimization,bi-convex function
eigenvalue decomposition,variance maximization
rayleigh quotient,principal component analysis
inner product,kernel matrix
outer product,covariance matrix regularization
positive semi-definite matrix,kernel matrix
positive semi-definite matrix,covariance matrix regularization
one-hot encoded labels,cluster assignment
mean-centering,cluster centroid
principal component analysis,k-means clustering
z-score normalization,feature normalization
weight normalization,feature normalization
feature normalization,batch normalization
cosine similarity,feature normalization
feature selection,discriminative features
discriminative features,feature learning
histogram feature transformation,feature transformation
histogram of oriented gradients,spectral features
feature selection,feature transformation
feature transformation,output transformation
random sampling,feature subsampling
transformed feature space,kernel trick
transformed feature space,manifold
hard-margin svm,kernel
soft-margin svm,kernel
nonlinear feature engineering,kernel trick
feature map,kernel trick
regression,kernelized regression
regularized logistic regression,kernelized logistic regression
feature map,entry-wise kernel matrix construction
multi-class perceptron,multi-layer perceptron
multi-class perceptron cost,multi-layer perceptron
cost function,activation function
feature,input layer
continuous-valued output,output layer
categorical labels,output layer
feature learning,hidden layer
gradient,backpropagation
neural network architecture,vanishing gradient problem
linear autoencoder,fully-connected neural network
encoder-decoder composition,neural network architecture
fixed-shape universal approximators,fully-connected neural network
regression,regression tree
decision boundary,split point
model parameters,leaf parameters
random sampling,bagging
argmax decision rule,majority voting
universal approximators,local function approximator
stump,gradient boosting
least squares cost function,residual fitting
