concept_1,concept_2
degree centrality,degree distribution
degree centrality,degree matrix
degree centrality,eigenvector centrality
degree centrality,node centrality measures
degree distribution,degree matrix
degree distribution,graph density
degree distribution,graph sparsity
degree matrix,feature matrix
density estimation,distribution learning
density estimation,generative sampling
density estimation,maximum likelihood estimation
diffpool,hierarchical pooling
dimensionality reduction,feature extraction
dimensionality reduction,feature selection
dimensionality reduction,manifold learning
dimensionality reduction,matrix factorization
dimensionality reduction,principal component analysis
dimensionality reduction,representation learning
directed acyclic graph,directed graph
directed acyclic graph,program flow graph
directed graph,program flow graph
directed graph,simple graph
disjoint subsets,graph partitioning
distribution learning,graph distribution
distribution learning,maximum mean discrepancy
domain,generative gnn dimensions
domain,input domain
domain,output domain
domain adaptation,few-shot learning
domain adaptation,inductive learning
domain adaptation,meta-learning
dot product,edge prediction
dot product,similarity function
dropgnn,dropout
dropgnn,gin
dropgnn,graph attention network
dropgnn,graph convolutional network
dropgnn,graph neural network
dropgnn,graph transformer
dropgnn,graphsage
dropout,overfitting
dropout,regularization
edge attributes,edge embedding
edge attributes,edge feature matrix
edge attributes,node attributes
edge connection,edge prediction
edge connection,node addition
edge connection,skip connection
edge data,node data
edge embedding,edge feature matrix
edge embedding,edge features
edge embedding,edge-based features
edge embedding,embedding matrix
edge embedding,feature embedding
edge embedding,node embedding
edge feature generation,edge feature matrix
edge feature generation,graph feature generation
edge feature generation,node feature generation
edge feature matrix,feature matrix
edge feature matrix,incidence matrix
edge features,node features
edge prediction,graph classification
edge prediction,graph link prediction
edge prediction,link prediction
edge prediction,node classification
edge prediction,node link prediction
edge prediction,recommendation systems
edge set,edge type
edge set,hyperedge
edge set,triplet
edge set,vertex set
edge type,edge update
edge type,hyperedge
edge type,node type
edge type,relation type
edge type,triplet
edge update,ned-vae
edge update,node update
edge update,node-edge co-transformation
edge update,parameter update
edge-based features,graph-based features
edge-based features,node-based features
edge-sequence,motif-sequence
edge-sequence,node-sequence
edge-sequence,rule-sequence
editing-based nect,embedding-based nect
editing-based nect,node-edge co-transformation
eigen decomposition,eigenvalues
eigen decomposition,eigenvectors
eigen decomposition,matrix completion
eigen decomposition,matrix factorization
eigen decomposition,matrix multiplication
eigen decomposition,matrix powers
eigen decomposition,principal component analysis
eigenvalues,eigenvectors
eigenvector centrality,eigenvectors
eigenvector centrality,node centrality measures
element-wise product,sigmoid activation
embedding dimension,extrinsic dimension
embedding dimension,intrinsic dimension
embedding matrix,embedding size
embedding matrix,feature matrix
embedding matrix,node embedding
embedding space,latent space
embedding space,manifold
embedding space,optimal subspace
embedding-based nect,node-edge co-transformation
empirical mean,standard deviation
encode-decode function,encoder-decoder gnns
encoder,latent space
encoder-decoder gnns,graph autoencoder
encoder-decoder gnns,graph unet
epoch,mini-batch size
evaluation metrics,fréchet inception distance
evaluation metrics,loss function
evaluation metrics,maximum mean discrepancy
exponential time complexity,scalability
expressive power of gnn,gnn expressiveness
expressive power of gnn,node representation capacity
extrinsic dimension,intrinsic dimension
fastgcn,graphsaint
fastgcn,ladies
fastgcn,layer sampling
fastgcn,node sampling
feature aggregation,feature integration
feature aggregation,message passing
feature aggregation,neighbor aggregation
feature compression,graph feature compression
feature embedding,feature representation
feature embedding,feature selection
feature embedding,graph feature embedding
feature embedding,latent representation
feature embedding,node embedding
feature extraction,feature integration
feature extraction,feature representation
feature extraction,feature selection
feature extraction,hand-crafted features
feature extraction,representation learning
feature integration,feature representation
feature integration,linear aggregation
feature matrix,node embedding
feature reduction,graph feature reduction
feature representation,feature selection
feature representation,graph feature representation
feature representation,graph representation
feature representation,latent representation
feature selection,graph feature reduction
feature selection,principal component analysis
feature selection,representation learning
feature transformation,transformation layers
few-shot learning,meta-learning
fixed adjacency matrix,learnable parameters
fixed adjacency matrix,learned weights
fixed prior,prior distribution
forward pass,mapping to next layer
forward pass,test set inference
fréchet inception distance,graph distribution
fréchet inception distance,maximum mean discrepancy
function f,ml problem formalization
function f,network mapping function
gaussian distribution,gaussian prior
gaussian distribution,noise distribution
gaussian prior,kl divergence
gaussian prior,latent variable
gaussian prior,prior distribution
generative learning tasks,graph generation
generative learning tasks,graph generation model
generative learning tasks,graph generative adversarial network
generative learning tasks,supervised generative gnn tasks
generative sampling,graph sampling
generative sampling,sampling
generator network,graph generative adversarial network
geodesic distance,graph walks
geodesic distance,neighborhood preservation
geometric graph,molecular graph
geometric graph,point cloud graph
geometric graph,road network
gin,graph attention network
gin,graph convolutional network
gin,graph isomorphism network
gin,graph isomorphism problem
gin,graph neural network
gin,graph transformer
gin,graphsage
gin,weisfeiler-lehman graph isomorphism test
gin,wl color refinement algorithm
global embedding aggregation,global pooling
global embedding aggregation,graph-based aggregation
global embedding aggregation,linear aggregation
global embedding aggregation,local embedding aggregation
global embedding aggregation,message passing
global embedding aggregation,readout
global max pooling,global mean pooling
global max pooling,global pooling
global max pooling,global sum pooling
global max pooling,graph pooling
global max pooling,hierarchical pooling
global max pooling,max aggregator
global mean pooling,global pooling
global mean pooling,global sum pooling
global mean pooling,graph pooling
global mean pooling,hierarchical pooling
global mean pooling,mean aggregator
global pooling,global sum pooling
global pooling,graph feature pooling
global pooling,graph feature pooling method
global pooling,graph pooling
global pooling,hierarchical pooling
global pooling,local embedding aggregation
global pooling,readout
global sum pooling,graph pooling
global sum pooling,hierarchical pooling
global sum pooling,sum pooling
gnn aims,graph neural network
gnn aims,ml problem formalization
gnn expressiveness,node representation capacity
gnn expressiveness,permutation invariance
gnn expressiveness,weisfeiler-lehman graph isomorphism test
gnn loss function,loss function
gnn mapping function,message passing
gnn mapping function,network mapping function
gpool,graph pooling
gradient descent,loss minimization
gradient descent,parameter update
gradient explosion,stability
gradient explosion,vanishing gradient
graph attention,graph attention network
graph attention,graph transformer
graph attention network,graph convolutional network
graph attention network,graph neural network
graph attention network,graph transformer
graph attention network,graphsage
graph augmentation,graph generation
graph augmentation,graph generation model
graph augmentation,graph sampling
graph augmentation,self-loop augmentation
graph autoencoder,graph u-autoencoder
graph autoencoder,graph variational autoencoder
graph autoencoder,graphvae
graph autoencoder,ned-vae
graph autoencoder,variational autoencoder
graph classification,graph clustering
graph classification,graph prediction
graph classification,graph regression
graph classification,graph-level prediction
graph classification,graph-level regression
graph classification,image classification
graph classification,node classification
graph classification,predict and analyze patterns
graph clustering,k-means clustering
graph clustering,node clustering
graph convolutional network,graph neural network
graph convolutional network,graph neural network layer
graph convolutional network,graph transformer
graph convolutional network,graphsage
graph convolutional network,kipf normalization
graph convolutional network,message passing
graph convolutional network,symmetric normalization
graph density,graph sparsity
graph density,percolation threshold
graph density,sparsity regularization
graph distribution,source graph distribution
graph distribution,target graph distribution
graph efficiency,graph resilience
graph embedding,graph representation
graph embedding,graph representation learning
graph embedding,graph structure encoding
graph embedding,graph-based features
graph expansion problem,memory usage
graph expansion problem,overlap
graph expansion problem,random neighborhood sampling
graph expansion problem,receptive field
graph feature compression,graph feature compression method
graph feature compression,graph feature embedding
graph feature compression,graph feature pooling
graph feature compression,graph feature reduction
graph feature compression,graph feature representation
graph feature compression,graph feature sampling
graph feature compression,graph pooling
graph feature compression method,graph feature embedding method
graph feature compression method,graph feature generation method
graph feature compression method,graph feature pooling method
graph feature compression method,graph feature reduction method
graph feature compression method,graph feature representation method
graph feature compression method,graph feature sampling method
graph feature embedding,graph feature embedding method
graph feature embedding,graph feature generation
graph feature embedding,graph feature pooling
graph feature embedding,graph feature reduction
graph feature embedding,graph feature representation
graph feature embedding,graph feature sampling
graph feature embedding method,graph feature generation method
graph feature embedding method,graph feature pooling method
graph feature embedding method,graph feature reduction method
graph feature embedding method,graph feature representation method
graph feature embedding method,graph feature sampling method
graph feature generation,graph feature generation method
graph feature generation,graph feature pooling
graph feature generation,graph feature representation
graph feature generation,graph feature sampling
graph feature generation,node feature generation
graph feature generation method,graph feature pooling method
graph feature generation method,graph feature reduction method
graph feature generation method,graph feature representation method
graph feature generation method,graph feature sampling method
graph feature pooling,graph feature pooling method
graph feature pooling,graph feature reduction
graph feature pooling,graph feature sampling
graph feature pooling,graph pooling
graph feature pooling method,graph feature reduction method
graph feature pooling method,graph feature representation method
graph feature pooling method,graph feature sampling method
graph feature reduction,graph feature reduction method
graph feature reduction,graph feature representation
graph feature reduction,graph feature sampling
graph feature reduction method,graph feature representation method
graph feature reduction method,graph feature sampling method
graph feature representation,graph feature representation method
graph feature representation,graph representation
graph feature representation method,graph feature sampling method
graph feature sampling,graph feature sampling method
graph feature sampling,graph sampling
graph feature sampling,subgraph sampling
graph generation,graph generation model
graph generation,graph generative adversarial network
graph generation,graph reconstruction
graph generation,graph sampling
graph generation,graph super-resolution
graph generation,molecular graph generation
graph generation,predict and analyze patterns
graph generation,regression
graph generation,utility of graph generation
graph generation model,graph generative adversarial network
graph isomorphism problem,graph matching
graph isomorphism problem,weisfeiler-lehman graph isomorphism test
graph link prediction,link prediction
graph link prediction,multigraph prediction
graph link prediction,node link prediction
graph neural architecture,graph neural network
graph neural architecture,neural architecture search
graph neural network,graph neural network layer
graph neural network,graph transformer
graph neural network,graphsage
graph neural network,message passing
graph neural network,node permutation equivariance in gnns
graph neural network,shallow node embedding
graph neural network layer,transformation layers
graph partitioning,graph pooling
graph partitioning,graph sampling
graph partitioning,layer sampling
graph partitioning,node sampling
graph partitioning,random neighborhood sampling
graph partitioning,subgraph sampling
graph pooling,graph unet
graph pooling,graph unpooling
graph pooling,hierarchical pooling
graph pooling,information loss
graph pooling,readout
graph pooling,subgraph sampling
graph pooling,top-k node selection
graph reconstruction,graph super-resolution
graph reconstruction,reconstruction
graph reconstruction,reconstruction loss
graph regression,graph-level prediction
graph regression,graph-level regression
graph regression,linear regression
graph regression,node regression
graph regression,regression
graph representation,graph representation learning
graph representation,graph structure
graph representation,graph structure encoding
graph representation,graph topology
graph representation learning,representation learning
graph resilience,percolation threshold
graph sampling,graphsaint
graph sampling,layer sampling
graph sampling,node sampling
graph sampling,random neighborhood sampling
graph sampling,sampling
graph sampling,subgraph sampling
graph sparsity,sparsity regularization
graph structure,graph topology
graph topology,mesoscale topology
graph topology,microscale topology
graph transformer,graphsage
graph transformer,natural language processing
graph transformer,transformer
graph u-autoencoder,graph unet
graph u-autoencoder,graph variational autoencoder
graph u-autoencoder,graphvae
graph u-autoencoder,ned-vae
graph u-autoencoder,variational autoencoder
graph unet,graph unpooling
graph unet,skip connection
graph unpooling,gunpool
graph variational autoencoder,graphvae
graph variational autoencoder,ned-vae
graph variational autoencoder,variational autoencoder
graph walks,k-hop neighborhood
graph walks,matrix powers
graph walks,rooted subtree
graph-based aggregation,linear aggregation
graph-based aggregation,local embedding aggregation
graph-based aggregation,message passing
graph-based features,node-based features
graph-level prediction,single graph prediction
graph-level regression,node regression
graphlets,induced subgraph
graphlets,motif-sequence
graphlets,subgraph
graphsage,random neighborhood sampling
graphsaint,ladies
graphsaint,subgraph sampling
graphvae,ned-vae
graphvae,variational autoencoder
hand-crafted features,representation learning
heterogeneous graph,hypergraph
heterogeneous graph,knowledge graph
hidden layer,hidden unit
hidden layer,output layer
hierarchical graph,hierarchical pooling
hierarchical graph,hypergraph
high-order relationships,hyperedge
high-order relationships,hypergraph
high-order relationships,modeling interactions
highly connected core structure,star-like graphs
hyperparameters,learnable parameters
hyperparameters,learned weights
hyperparameters,parameters
identity vector initialization,random initialization
identity vector initialization,topological attribute initialization
imputation,matrix completion
induced subgraph,proper subgraph
induced subgraph,spanning subgraph
induced subgraph,subgraph
inductive learning,test graph
inductive learning,testing node
inductive learning,transductive learning
inductive node classification,node classification
inductive node classification,transductive node classification
information loss,sampling bias
injective aggregation,injective hash function
injective aggregation,linear aggregation
injective aggregation,max aggregator
injective aggregation,mean aggregator
injective aggregation,multiset
injective aggregation,universal function approximator
injective hash function,multiset
input domain,output domain
input domain,target domain
input graph,source graph
input graph,target graph
k-hop neighborhood,k-hop similarity
k-hop neighborhood,node computational graph
k-hop neighborhood,receptive field
k-hop neighborhood,rooted subtree
k-hop neighborhood,symmetric neighborhood
k-hop similarity,neighborhood preservation
k-hop similarity,node similarity
k-hop similarity,wl color refinement algorithm
k-means clustering,node clustering
kipf normalization,layer-wise normalization
kipf normalization,softmax normalization
kl divergence,l2 loss
kl divergence,maximum likelihood estimation
kl divergence,maximum mean discrepancy
kl divergence,mean absolute error
kl divergence,mean squared error
kl divergence,reconstruction loss
knowledge distillation,meta-learning
knowledge distillation,parameter sharing
knowledge graph,natural language processing
knowledge graph,social network
l2 loss,mean absolute error
l2 loss,mean squared error
l2 loss,reconstruction loss
l2 loss,squared error loss
ladies,layer sampling
ladies,layer-dependent importance sampling
latent representation,latent space
latent representation,latent variable
latent space,latent variable
latent space,optimal subspace
layer sampling,layer-wise sampling
layer sampling,node sampling
layer sampling,random neighborhood sampling
layer sampling,subgraph sampling
layer-wise normalization,softmax normalization
learnable parameters,parameter update
linear aggregation,local embedding aggregation
linear aggregation,max aggregator
linear aggregation,mean aggregator
linear aggregation,message passing
linear aggregation,nonlinear transformation
linear autoencoder,manifold learning
linear autoencoder,matrix factorization
linear autoencoder,principal component analysis
linear layer,linear regression
linear layer,linear transformation
linear layer,single layer linear network
linear layer,transformation layers
linear network,nonlinear network
linear regression,node regression
linear regression,regression
linear regression,single layer linear network
linear transformation,linearization
linear transformation,nonlinear transformation
linearization,nonlinear transformation
link prediction,node link prediction
link prediction,recommendation systems
local embedding aggregation,message passing
logistic activation,relu
logistic activation,sigmoid activation
logistic activation,softmax
loss function,loss minimization
loss function,loss objective
machine learning,representation learning
manifold learning,matrix factorization
manifold learning,principal component analysis
matrix completion,matrix factorization
matrix completion,matrix multiplication
matrix completion,matrix powers
matrix factorization,matrix multiplication
matrix factorization,matrix powers
matrix factorization,principal component analysis
matrix multiplication,matrix powers
max aggregator,mean aggregator
maximum likelihood estimation,variational autoencoder
mean absolute error,mean squared error
mean absolute error,reconstruction loss
mean squared error,reconstruction loss
mean squared error,squared error loss
memory usage,scalability
mesoscale topology,microscale topology
message passing,neighbor aggregation
message passing,neighborhood aggregation
meta-learning,neural architecture search
mini-batch gradient descent,mini-batch size
mini-batch gradient descent,stochastic gradient descent
mini-batch subgraph,subgraph sampling
modeling relationships,relation type
molecular graph,molecular graph generation
molecular graph,protein interaction network
motif-sequence,node-sequence
motif-sequence,rule-sequence
multi-output regression,multi-regression models
multi-output regression,single-output regression
multi-regression models,single regression model
multigraph prediction,single graph prediction
multilayer perceptron,prediction head
multilayer perceptron,single layer linear network
multilayer perceptron,universal function approximator
multiple edges,self-loop
multiple edges,simple graph
multiple output scores,output scores
ned-vae,node update
ned-vae,node-edge co-transformation
ned-vae,variational autoencoder
neighbor aggregation,neighborhood aggregation
neighborhood sampling,random neighborhood sampling
network mapping function,network output function
network output function,prediction head
node attributes,node embedding
node classification,node clustering
node classification,node prediction
node classification,node regression
node classification,transductive node classification
node clustering,topological roles
node computational graph,node embedding computation graph
node computational graph,program flow graph
node computational graph,receptive field
node computational graph,rooted subtree
node embedding,node features
node embedding,node-based features
node embedding,shallow node embedding
node feature generation,node feature matrix
node features,node labels
node labels,output label
node labels,training samples
node ordering,node permutation invariance
node ordering,permutation
node ordering,permutation matrix
node permutation equivariance,node permutation equivariance in gnns
node permutation equivariance,node permutation invariance
node permutation equivariance,permutation invariance
node permutation equivariance,transformation equivariance
node permutation equivariance,transformation invariance
node permutation equivariance in gnns,node permutation invariance
node permutation equivariance in gnns,permutation invariance
node permutation equivariance in gnns,transformation equivariance
node permutation equivariance in gnns,transformation invariance
node permutation invariance,permutation invariance
node permutation invariance,transformation equivariance
node permutation invariance,transformation invariance
node regression,regression
node sampling,node-wise sampling
node sampling,random neighborhood sampling
node sampling,subgraph sampling
node sampling,top-k node selection
node scores,projection vector
node scores,sigmoid activation
node scores,top-k node selection
node similarity,shared neighbors
node similarity,similarity function
node similarity,topological roles
node type,node update
node type,relation type
node update,node-edge co-transformation
node update,parameter update
node-sequence,rule-sequence
noise distribution,prior distribution
noise in training,sampling bias
noise in training,stochastic gradient descent
non-commutativity,operation order
number of nodes,vertex set
one-shot generating,sequential generating
optimal subspace,principal component analysis
output domain,target domain
output domain,target graph
output label,output scores
output label,predicted class probability
output label,predicted label
output scores,predicted class probability
output scores,prediction
output scores,softmax
overfitting,regularization
overlap,redundancy
parameter sharing,shared mapping
permutation,permutation matrix
permutation invariance,permutation matrix
permutation invariance,transformation equivariance
permutation invariance,transformation invariance
permutation matrix,symmetric matrix
predicted class probability,sigmoid activation
predicted class probability,softmax
predicted label,prediction
prediction,test set inference
prediction head,readout
projection vector,top-k node selection
proper subgraph,spanning subgraph
proper subgraph,subgraph
random initialization,sampled noise
random initialization,topological attribute initialization
random neighborhood sampling,subgraph sampling
reconstruction,reconstruction loss
regularization,sparsity regularization
reinforcement learning,supervised learning
reinforcement learning,unsupervised learning
relation type,triplet
relu,sigmoid activation
relu,softmax
representation learning,shallow node embedding
rooted subtree,subgraph
rooted subtree,wl color refinement algorithm
self-loop,simple graph
self-supervised learning,supervised learning
self-supervised learning,task-dependent learning
self-supervised learning,unsupervised learning
shared neighbors,similarity function
sigmoid activation,softmax
single regression model,single-output regression
softmax,softmax normalization
source graph,source graph distribution
source graph,target graph
source graph distribution,target graph distribution
source graph distribution,training graphs
spanning set,spanning subgraph
spanning subgraph,subgraph
stability,vanishing gradient
standard deviation,variance
structural symmetry,symmetric neighborhood
subgraph,subgraph sampling
supervised generation,unsupervised learning
supervised learning,task-dependent learning
supervised learning,unsupervised learning
symmetric matrix,symmetric normalization
target graph,target graph distribution
target graph,test graph
target graph distribution,test graph
task-dependent learning,task-specific learning
test graph,testing node
test graph,training graphs
test graph,training samples
test nodes,training nodes
testing node,training graphs
testing node,training samples
testing node,unseen node
topological attribute initialization,topology
topological roles,topology
training epoch,training samples
training graphs,training samples
transformation equivariance,transformation invariance
unweighted graph,weighted graph
weisfeiler-lehman graph isomorphism test,wl color refinement algorithm
